x,y,z,flag
519963.78399999999,3929661.3909999998,-3108.9899999999998,0
519972.69199999998,3929671.395,-3108.9899999999998,0
519981.69,3929681.0920000002,-3106.8899999999999,0
519925.08199999999,3929666.9739999999,-3131.73,0
519935.88400000002,3929678.375,-3123.9299999999998,0
519946.18800000002,3929689.375,-3118.23,0
519956.98200000002,3929700.676,-3109.5300000000002,0
519967.28600000002,3929711.676,-3103.73,0
519977.68900000001,3929722.6680000001,-3096.4299999999998,0
519986.08799999999,3929732.3739999998,-3101.73,0
519873.09100000001,3929664.1880000001,-3163.8800000000001,0
519884.19,3929675.9929999998,-3154.6799999999998,0
519895.38299999997,3929688.0869999998,-3146.48,0
519908.58500000002,3929700.9849999999,-3122.2800000000002,0
519919.59100000001,3929712.79,-3114.1799999999998,0
519929.685,3929723.588,-3106.6799999999998,0
519938.68599999999,3929733.8829999999,-3108.3800000000001,0
519949.28600000002,3929745.287,-3101.6799999999998,0
519959.47999999998,3929756.2889999999,-3095.1799999999998,0
519967.88299999997,3929766.1910000001,-3099.7800000000002,0
519975.88900000002,3929775.9890000001,-3110.2800000000002,0
519983.78700000001,3929785.5890000002,-3118.3800000000001,0
519827.04300000001,3929661.9130000002,-3158.48,0
519837.43400000001,3929673.21,-3152.6799999999998,0
519842.533,3929680.7119999998,-3174.1799999999998,0
519856.03700000001,3929694.0180000002,-3150.2800000000002,0
519865.13,3929704.4180000001,-3152.0799999999999,0
519876.83299999998,3929716.7200000002,-3140.6799999999998,0
519887.52899999998,3929728.017,-3130.5799999999999,0
519900.429,3929740.7209999999,-3106.8800000000001,0
519909.33100000001,3929750.9169999999,-3108.7800000000002,0
519919.13299999997,3929761.7200000002,-3105.2800000000002,0
519928.82799999998,3929772.523,-3103.2800000000002,0
519937.12699999998,3929782.3149999999,-3107.8800000000001,0
519945.22600000002,3929791.9240000001,-3114.48,0
519954.723,3929802.6209999998,-3112.3800000000001,0
519963.52500000002,3929812.7170000002,-3114.7800000000002,0
519971.21999999997,3929822.227,-3124.0799999999999,0
519980.91600000003,3929832.9240000001,-3120.7800000000002,0
519790.22200000001,3929669.7340000002,-3171.6300000000001,0
519799.92200000002,3929680.4389999998,-3171.3299999999999,0
519812.51400000002,3929692.9419999998,-3153.23,0
519822.41200000001,3929703.54,-3149.8299999999999,0
519828.51500000001,3929711.443,-3167.4299999999998,0
519842.61499999999,3929725.1370000001,-3141.23,0
519850.31,3929734.236,-3149.73,0
519861.516,3929745.841,-3139.73,0
519873.511,3929757.8450000002,-3122.0300000000002,0
519886.20899999997,3929770.3480000002,-3101.6300000000001,0
519893.91200000001,3929779.4410000001,-3109.5300000000002,0
519904.40700000001,3929790.446,-3101.9299999999998,0
519913.40299999999,3929800.5449999999,-3103.5300000000002,0
519922.20699999999,3929810.3480000002,-3104.23,0
519931.10399999999,3929820.4410000001,-3106.4299999999998,0
519940.40600000002,3929830.645,-3106.0300000000002,0
519948.80499999999,3929840.3500000001,-3112.1300000000001,0
519956.402,3929849.7480000001,-3123.6300000000001,0
519963.90600000002,3929858.9479999999,-3137.0300000000002,0
519972.09899999999,3929868.449,-3142.4299999999998,0
519981.59999999998,3929878.8500000001,-3140.4299999999998,0
519733.72399999999,3929669.906,-3208.4400000000001,0
519745.22999999998,3929681.804,-3195.3400000000001,0
519755.52799999999,3929693.1009999998,-3190.2399999999998,0
519764.72100000002,3929703.5060000001,-3190.9400000000001,0
519777.62400000001,3929716.7039999999,-3173.9400000000001,0
519789.52100000001,3929728.8050000002,-3158.9400000000001,0
519799.82400000002,3929739.804,-3150.4400000000001,0
519816.31800000003,3929755.1030000001,-3109.54,0
519827.11900000001,3929766.6090000002,-3100.2399999999998,0
519833.11700000003,3929774.713,-3117.4400000000001,0
519840.51799999998,3929783.912,-3128.54,0
519852.62099999998,3929796.1099999999,-3108.6399999999999,0
519860.31199999998,3929805.4130000002,-3116.54,0
519870.61499999999,3929816.4130000002,-3109.6399999999999,0
519880.21399999998,3929827.1129999999,-3107.04,0
519889.00799999997,3929836.9109999998,-3105.54,0
519898.70699999999,3929847.7089999998,-3103.04,0
519907.10999999999,3929857.5180000002,-3107.4400000000001,0
519915.70600000001,3929867.4100000001,-3108.8400000000001,0
519923.81,3929877.0150000001,-3115.04,0
519931.60399999999,3929886.8139999998,-3125.7399999999998,0
519938.81300000002,3929895.9160000002,-3137.7399999999998,0
519947.60800000001,3929906.0189999999,-3140.4400000000001,0
519956.20400000003,3929915.9100000001,-3142.2399999999998,0
519965.20500000002,3929926.2179999999,-3143.04,0
519974.30599999998,3929936.517,-3144.1399999999999,0
519983.30099999998,3929946.8169999998,-3145.3400000000001,0
519688.78499999997,3929665.375,-3241.3000000000002,0
519696.58799999999,3929674.5800000001,-3249.1999999999998,0
519715.788,3929691.9810000001,-3199.1999999999998,0
519727.58500000002,3929704.2779999999,-3188.0999999999999,0
519737.08600000001,3929714.5729999999,-3185.9000000000001,0
519749.58600000001,3929727.2779999999,-3172.5,0
519764.984,3929741.8829999999,-3139.5999999999999,0
519775.67800000001,3929752.98,-3129.4000000000001,0
519784.78100000002,3929763.0789999999,-3129.8000000000002,0
519793.87800000003,3929773.3820000002,-3131.8000000000002,0
519802.277,3929782.9810000001,-3135.8000000000002,0
519809.87400000001,3929791.98,-3142.8000000000002,0
519821.37099999998,3929803.7829999998,-3130.6999999999998,0
519833.57900000003,3929815.8799999999,-3111,0
519844.47200000001,3929827.281,-3101.8000000000002,0
519853.47600000002,3929837.281,-3102.0999999999999,0
519862.679,3929847.5839999998,-3102.5999999999999,0
519871.27000000002,3929857.3870000001,-3106.5999999999999,0
519879.77000000002,3929867.0839999998,-3108.5,0
519887.56599999999,3929876.3870000001,-3116.5999999999999,0
519896.27100000001,3929886.2889999999,-3120.5,0
519905.06900000002,3929896.389,-3123.3000000000002,0
519913.66999999998,3929906.3829999999,-3127.8000000000002,0
519922.864,3929916.389,-3125.0999999999999,0
519932.47200000001,3929926.9879999999,-3123.4000000000001,0
519950.26699999999,3929947.1869999999,-3127.0999999999999,0
519957.86499999999,3929956.5970000001,-3139.1999999999998,0
519966.16700000002,3929966.4939999999,-3146.5999999999999,0
519975.36300000001,3929976.79,-3146.4000000000001,0
519985.26199999999,3929987.3879999998,-3139.8000000000002,0
519642.76699999999,3929664.264,-3258.02,0
519650.66600000003,3929673.5699999998,-3266.2199999999998,0
519666.36700000003,3929688.8670000001,-3237.9200000000001,0
519680.96600000001,3929702.9640000002,-3210.4200000000001,0
519690.364,3929713.4679999999,-3210.3200000000002,0
519699.76199999999,3929723.7740000002,-3208.3200000000002,0
519713.65700000001,3929737.3700000001,-3184.52,0
519726.565,3929750.3689999999,-3166.52,0
519735.864,3929760.6680000001,-3167.1199999999999,0
519744.66600000003,3929770.6719999998,-3169.02,0
519756.45699999999,3929782.5759999999,-3154.6199999999999,0
519766.36099999998,3929793.3700000001,-3150.8200000000002,0
519775.95799999998,3929803.8730000001,-3149.2199999999998,0
519789.859,3929817.1719999998,-3120.8200000000002,0
