x,y,z,flag
234604.87700000001,3751636.2220000001,-585.24000000000001,0
234606.875,3751629.1970000002,-585.94000000000005,0
234608.86300000001,3751622.1680000001,-586.94000000000005,0
234603.72099999999,3751668.0759999999,-581.03999999999996,0
234605.622,3751661.2510000002,-581.74000000000001,0
234607.52100000001,3751654.23,-583.03999999999996,0
234609.41099999999,3751647.2059999998,-584.34000000000003,0
234611.22099999999,3751640.4920000001,-584.74000000000001,0
234613.21599999999,3751633.463,-585.84000000000003,0
234615.12,3751626.5460000001,-586.74000000000001,0
234617.00899999999,3751619.5219999999,-587.84000000000003,0
234604.682,3751689.6850000001,-579.52999999999997,0
234606.59099999999,3751682.8629999999,-580.63,0
234608.394,3751676.054,-581.52999999999997,0
234610.30300000001,3751669.2310000001,-582.73000000000002,0
234612.20199999999,3751662.4049999998,-583.33000000000004,0
234613.666,3751656.5109999999,-580.63,0
234615.837,3751649.074,-583.42999999999995,0
234617.72500000001,3751642.0499999998,-584.52999999999997,0
234619.723,3751635.1260000002,-585.52999999999997,0
234621.71599999999,3751628.0970000001,-586.83000000000004,0
234623.535,3751621.3849999998,-587.13,0
234603.467,3751721.037,-575.71000000000004,0
234605.47500000001,3751714.2110000001,-578.11000000000001,0
234607.29000000001,3751707.4879999999,-579.30999999999995,0
234609.10500000001,3751700.8799999999,-579.71000000000004,0
234610.92800000001,3751694.3560000001,-579.61000000000001,0
234612.64499999999,3751687.8450000002,-579.80999999999995,0
234614.647,3751680.9240000001,-581.50999999999999,0
234616.46100000001,3751674.2009999999,-582.30999999999995,0
234618.36199999999,3751667.3879999998,-583.50999999999999,0
234620.361,3751660.3620000002,-585.11000000000001,0
234622.43799999999,3751653.1189999999,-587.61000000000001,0
234624.16800000001,3751646.716,-587.00999999999999,0
234625.99100000001,3751640.1919999998,-587.00999999999999,0
234628.079,3751633.0660000001,-588.80999999999995,0
234629.89999999999,3751626.5520000001,-589.00999999999999,0
234631.80900000001,3751619.824,-589.40999999999997,0
234604.478,3751741.6439999999,-578.21000000000004,0
234606.31400000001,3751735.227,-578.00999999999999,0
234607.93900000001,3751728.827,-577.11000000000001,0
234609.76300000001,3751722.3029999998,-577.21000000000004,0
234611.76500000001,3751715.3820000002,-580.11000000000001,0
234613.48699999999,3751708.966,-579.90999999999997,0
234615.40900000001,3751702.3450000002,-580.30999999999995,0
234617.307,3751695.4270000001,-581.80999999999995,0
234619.04199999999,3751689.1179999998,-581.21000000000004,0
234620.951,3751682.389,-581.71000000000004,0
234622.85399999999,3751675.5660000001,-583.11000000000001,0
234624.77100000001,3751668.8500000001,-583.90999999999997,0
234626.674,3751662.0260000001,-584.90999999999997,0
234628.495,3751655.5120000001,-584.80999999999995,0
234630.5,3751648.5819999999,-586.11000000000001,0
234632.511,3751641.8590000002,-586.90999999999997,0
234634.41099999999,3751634.932,-587.90999999999997,0
234636.32699999999,3751628.412,-588.11000000000001,0
234638.497,3751620.977,-590.80999999999995,0
234603.152,3751775.6570000001,-574.16999999999996,0
234604.97,3751769.0389999999,-575.07000000000005,0
234606.68100000001,3751762.4330000002,-575.66999999999996,0
234608.5,3751755.8149999999,-576.07000000000005,0
234610.318,3751749.1970000002,-576.76999999999998,0
234612.13399999999,3751742.5890000002,-577.07000000000005,0
234614.04399999999,3751735.861,-578.47000000000003,0
234615.94899999999,3751729.0380000002,-579.87,0
234617.76699999999,3751722.4199999999,-579.97000000000003,0
234619.04800000001,3751716.8390000002,-574.47000000000003,0
234621.48699999999,3751708.9890000001,-581.57000000000005,0
234623.22,3751702.5750000002,-580.76999999999998,0
234625.12400000001,3751695.753,-581.57000000000005,0
234627.02900000001,3751688.9300000002,-582.87,0
234629.038,3751682.1039999998,-584.07000000000005,0
234630.94200000001,3751675.281,-584.66999999999996,0
234632.84400000001,3751668.4679999999,-585.16999999999996,0
234634.66200000001,3751661.8500000001,-585.16999999999996,0
234636.745,3751654.7119999998,-587.26999999999998,0
234638.74799999999,3751647.7919999999,-588.47000000000003,0
234640.47700000001,3751641.2740000002,-587.57000000000005,0
234642.64000000001,3751633.8369999998,-590.26999999999998,0
234644.54399999999,3751627.014,-590.37,0
234646.639,3751619.983,-591.76999999999998,0
234603.79000000001,3751796.784,-573.57000000000005,0
234605.609,3751790.1660000002,-574.16999999999996,0
234607.43299999999,3751783.6430000002,-574.97000000000003,0
234609.144,3751777.037,-575.76999999999998,0
234610.96599999999,3751770.5240000002,-576.47000000000003,0
234612.69500000001,3751764.0060000001,-575.26999999999998,0
234614.511,3751757.398,-576.16999999999996,0
234616.421,3751750.6699999999,-577.57000000000005,0
234618.239,3751744.0520000001,-577.87,0
234620.147,3751737.3330000001,-579.26999999999998,0
234622.15599999999,3751730.5070000002,-580.37,0
234623.97399999999,3751723.889,-580.16999999999996,0
234625.69099999999,3751717.3790000002,-579.47000000000003,0
234627.60800000001,3751710.6630000002,-580.37,0
234629.424,3751703.9399999999,-581.16999999999996,0
234631.42600000001,3751697.216,-582.37,0
234633.32999999999,3751690.3930000002,-583.37,0
234635.33900000001,3751683.568,-584.26999999999998,0
234637.24900000001,3751676.8390000002,-584.87,0
234639.25,3751669.8139999998,-586.26999999999998,0
234641.16,3751663.2000000002,-586.07000000000005,0
234643.065,3751656.378,-586.57000000000005,0
234645.15700000001,3751649.2429999998,-588.47000000000003,0
234647.06400000001,3751642.5240000002,-588.76999999999998,0
234649.06,3751635.591,-589.87,0
234651.152,3751628.4559999998,-590.87,0
234653.06,3751621.7379999999,-591.37,0
234604.57399999999,3751830.852,-570.09000000000003,0
234606.40100000001,3751824.4330000002,-573.69000000000005,0
234607.93100000001,3751818.0380000002,-571.19000000000005,0
234609.859,3751811.5109999999,-574.69000000000005,0
234611.484,3751805.111,-575.09000000000003,0
234613.201,3751798.6000000001,-575.19000000000005,0
234614.924,3751791.9879999999,-576.28999999999996,0
234616.65900000001,3751785.679,-575.69000000000005,0
234618.37599999999,3751779.1680000001,-576.28999999999996,0
234620.10200000001,3751772.6600000001,-576.99000000000001,0
234621.81899999999,3751766.1490000002,-577.38999999999999,0
234623.55100000001,3751759.736,-576.69000000000005,0
