x,y,z,flag
734266.40000000002,3748687.983,-1405.3499999999999,0
734274.50300000003,3748673.5869999998,-1403.05,0
734278.50100000005,3748666.0869999998,-1406.05,0
734283.20900000003,3748657.2820000001,-1407.95,0
734288.90700000001,3748646.682,-1409.55,0
734265.32700000005,3748742.4679999999,-1398.5899999999999,0
734270.72699999996,3748732.2680000002,-1400.49,0
734276.52599999995,3748721.3679999998,-1400.6900000000001,0
734280.12899999996,3748714.3689999999,-1404.3900000000001,0
734283.22600000002,3748708.1660000002,-1408.6900000000001,0
734293.429,3748689.8700000001,-1403.3900000000001,0
734295.826,3748684.8689999999,-1408.6900000000001,0
734300.429,3748675.9700000002,-1411.0899999999999,0
734305.72100000002,3748666.0720000002,-1412.1900000000001,0
734311.22100000002,3748655.5649999999,-1413.29,0
734313.12199999997,3748651.3629999999,-1419.1900000000001,0
734463.12699999998,3749039.2790000001,-1348.73,0
734468.03000000003,3749026.5780000002,-1347.3299999999999,0
734470.72499999998,3749019.0759999999,-1349.03,0
734609.10600000003,3748645.8629999999,-1348.1300000000001,0
734535.07700000005,3748892.304,-1327.6700000000001,0
734534.277,3748893.108,-1336.27,0
734539.68500000006,3748878.807,-1333.5699999999999,0
734540.18000000005,3748876.4029999999,-1339.1700000000001,0
734543.98499999999,3748866.2110000001,-1339.47,0
734547.57999999996,3748856.1090000002,-1339.97,0
734551.28000000003,3748846.2000000002,-1340.0699999999999,0
734554.18099999998,3748837.406,-1341.6700000000001,0
734558.68599999999,3748825.608,-1340.47,0
734561.98800000001,3748816.3080000002,-1342.27,0
734563.87899999996,3748810.5060000001,-1345.1700000000001,0
734567.98800000001,3748799.1120000002,-1344.1700000000001,0
734571.97999999998,3748788.0070000002,-1343.8699999999999,0
734574.78200000001,3748780.304,-1346.6700000000001,0
734581.48199999996,3748762.804,-1340.27,0
734583.98400000005,3748755.301,-1343.0699999999999,0
734588.28599999996,3748743.605,-1341.5699999999999,0
734589.88300000003,3748738.409,-1346.1700000000001,0
734593.98300000001,3748727.2089999998,-1344.97,0
734597.99100000004,3748716.0049999999,-1345.47,0
734603.39300000004,3748701.8059999999,-1341.77,0
734604.48600000003,3748697.7080000001,-1346.8699999999999,0
734607.18599999999,3748689.801,-1349.3699999999999,0
734610.78799999994,3748679.7119999998,-1349.5699999999999,0
734615.08700000006,3748668.108,-1348.6700000000001,0
734618.69099999999,3748657.8119999999,-1349.27,0
734621.39099999995,3748649.906,-1351.3699999999999,0
734668.38800000004,3748902.27,-1299.24,0
734672.19400000002,3748889.6669999999,-1298.4400000000001,0
734674.68999999994,3748880.872,-1299.9400000000001,0
734678.09499999997,3748869.77,-1299.24,0
734683.299,3748853.0699999998,-1295.04,0
734684.80099999998,3748847.0660000001,-1299.3399999999999,0
734687.80099999998,3748836.9750000001,-1298.74,0
734690.60100000002,3748827.1699999999,-1299.54,0
734691.19900000002,3748824.1680000001,-1304.74,0
734692.799,3748817.7760000001,-1308.4400000000001,0
734695.29799999995,3748809.074,-1308.9400000000001,0
734697.60400000005,3748800.9759999998,-1311.04,0
734701.70200000005,3748787.4720000001,-1309.24,0
734706.80599999998,3748771.1699999999,-1305.24,0
734708.10499999998,3748765.6770000001,-1308.54,0
734710.90700000001,3748756.1680000001,-1309.6400000000001,0
734714.81099999999,3748743.2779999999,-1307.9400000000001,0
734715.40800000005,3748739.8689999999,-1313.6400000000001,0
734717.41200000001,3748732.577,-1315.54,0
734718.91399999999,3748726.3689999999,-1319.54,0
734721.60999999999,3748716.676,-1320.74,0
734724.10800000001,3748707.9739999999,-1321.6400000000001,0
734726.31499999994,3748700.2749999999,-1323.54,0
734728.20900000003,3748692.8700000001,-1326.8399999999999,0
734731.41000000003,3748681.8700000001,-1326.54,0
734733.41299999994,3748674.375,-1329.54,0
734737.01800000004,3748662.2719999999,-1328.24,0
734738.71900000004,3748655.4720000001,-1331.9400000000001,0
734741.61899999995,3748645.676,-1332.1400000000001,0
734673.76100000006,3748946.628,-1286.4100000000001,0
734674.66099999996,3748942.8300000001,-1290.6099999999999,0
734676.35800000001,3748936.2310000001,-1294.01,0
734679.16599999997,3748926.7319999998,-1294.51,0
734680.76399999997,3748920.6340000001,-1297.3099999999999,0
734683.95999999996,3748909.6310000001,-1296.9100000000001,0
734685.26800000004,3748904.23,-1301.3099999999999,0
734687.96499999997,3748894.9330000002,-1301.8099999999999,0
734694.06499999994,3748875.1329999999,-1295.8099999999999,0
734694.56400000001,3748872.1320000002,-1301.01,0
734697.86199999996,3748861.128,-1300.4100000000001,0
734699.76599999995,3748853.7349999999,-1303.3099999999999,0
734704.26100000006,3748838.9300000002,-1300.71,0
734706.86800000002,3748829.9309999999,-1301.1099999999999,0
734709.06400000001,3748821.7280000001,-1303.21,0
734710.96100000001,3748814.6290000002,-1305.21,0
734714.06599999999,3748804.0359999998,-1305.1099999999999,0
734716.16299999994,3748796.3339999998,-1307.51,0
734718.56900000002,3748787.5299999998,-1308.8099999999999,0
734722.06499999994,3748775.628,-1307.9100000000001,0
734725.36699999997,3748764.1359999999,-1308.01,0
734728.66399999999,3748752.9279999998,-1307.21,0
734730.37100000004,3748746.4339999999,-1309.4100000000001,0
734731.86600000004,3748740.1320000002,-1313.3099999999999,0
734732.46699999995,3748737.0290000001,-1319.1099999999999,0
734736.37,3748723.8300000001,-1316.51,0
734738.06700000004,3748717.1299999999,-1320.1099999999999,0
734740.77300000004,3748707.6310000001,-1320.3099999999999,0
734743.86699999997,3748696.73,-1320.6099999999999,0
734746.66899999999,3748686.6379999998,-1321.4100000000001,0
734749.06599999999,3748677.9339999999,-1323.51,0
734751.272,3748669.8360000001,-1325.3099999999999,0
734752.66799999995,3748663.8309999998,-1328.71,0
734754.16399999999,3748657.835,-1332.01,0
734757.86699999997,3748645.1370000001,-1330.71,0
734842.14899999998,3748993.105,-1252.53,0
734843.05000000005,3748987.9100000001,-1255.23,0
734844.34299999999,3748980.7059999998,-1257.23,0
734474.32999999996,3749009.2799999998,-1350.1300000000001,1
734477.82900000003,3748999.8799999999,-1350.6300000000001,1
734481.42599999998,3748990.0720000002,-1351.6300000000001,1
734484.929,3748980.7769999998,-1351.6300000000001,1
734488.62600000005,3748970.477,-1353.03,1
734492.22600000002,3748960.9700000002,-1353.1300000000001,1
734495.92500000005,3748950.9709999999,-1353.8299999999999,1
734499.625,3748940.9730000002,-1354.23,1
734503.22600000002,3748931.0720000002,-1354.4300000000001,1
734507.11899999995,3748920.773,-1355.3299999999999,1
734510.82499999995,3748910.673,-1355.6300000000001,1
734514.51800000004,3748900.7760000001,-1355.4300000000001,1
734518.42099999997,3748889.9720000001,-1356.3299999999999,1
734522.21900000004,3748879.8760000002,-1356.23,1
734526.11800000002,3748869.4750000001,-1356.23,1
734530.01500000001,3748858.773,-1356.73,1
734533.91700000002,3748848.1660000002,-1356.73,1
734537.821,3748837.673,-1356.53,1
734541.91099999996,3748826.6710000001,-1357.03,1
734545.81000000006,3748816.27,-1356.3299999999999,1
734549.91000000003,3748805.27,-1356.4300000000001,1
734553.91799999995,3748794.267,-1356.3299999999999,1
734557.91599999997,3748783.571,-1355.6300000000001,1
734562.20700000005,3748771.9700000002,-1356.1300000000001,1
734566.20799999998,3748761.2650000001,-1355.1300000000001,1
734570.41299999994,3748749.8689999999,-1355.03,1
734574.61399999994,3748738.5649999999,-1354.53,1
734578.81299999997,3748727.2710000002,-1353.8299999999999,1
734583.10600000003,3748715.6600000001,-1353.53,1
734587.30799999996,3748704.4700000002,-1352.4300000000001,1
734591.61100000003,3748692.8620000002,-1351.73,1
734596.01000000001,3748680.969,-1351.3299999999999,1
734600.31000000006,3748669.5669999998,-1350.03,1
734604.60900000005,3748658.165,-1348.53,1
734493.67599999998,3749005.608,-1327.47,1
734497.37899999996,3748995.4100000001,-1327.27,1
734501.17599999998,3748985.0099999998,-1327.5699999999999,1
734504.97400000005,3748974.8059999999,-1327.47,1
734508.78399999999,3748964.2009999999,-1327.8699999999999,1
734512.47499999998,3748954.2069999999,-1327.47,1
734516.17799999996,3748944.0090000001,-1327.27,1
734520.08200000005,3748933.202,-1328.0699999999999,1
734523.78200000001,3748923.2110000001,-1327.6700000000001,1
734527.68000000005,3748912.5060000001,-1328.27,1
734531.37699999998,3748902.4100000001,-1328.0699999999999,1
734622.37300000002,3749057.4670000002,-1295.1400000000001,1
734625.375,3749047.1609999998,-1295.3399999999999,1
734628.47699999996,3749036.764,-1295.74,1
734631.57799999998,3749026.3659999999,-1296.1400000000001,1
734634.57999999996,3749016.2650000001,-1295.9400000000001,1
734637.78099999996,3749005.469,-1296.9400000000001,1
734640.78500000003,3748995.5619999999,-1296.54,1
734643.98600000003,3748984.665,-1297.74,1
734646.98800000001,3748974.665,-1297.54,1
734649.98800000001,3748964.3700000001,-1297.6400000000001,1
734653.19099999999,3748953.6660000002,-1298.4400000000001,1
734656.19299999997,3748943.7689999999,-1298.04,1
734659.29399999999,3748933.1680000001,-1298.74,1
734662.29399999999,3748922.6680000001,-1299.1400000000001,1
734665.39599999995,3748912.3730000001,-1299.3399999999999,1
734646.96499999997,3749039.0299999998,-1283.8099999999999,1
734649.95799999998,3749028.4360000002,-1284.6099999999999,1
734652.95700000005,3749018.4339999999,-1284.6099999999999,1
734655.96299999999,3749008.1370000001,-1284.9100000000001,1
734658.85900000005,3748998.0329999998,-1284.8099999999999,1
734661.86499999999,3748987.6349999998,-1285.3099999999999,1
734664.85999999999,3748977.2349999999,-1286.01,1
734667.85900000005,3748967.0290000001,-1286.1099999999999,1
734670.86499999999,3748956.8339999998,-1286.21,1
734843.951,3749022.554,-1255.54,0
734840.54399999999,3749034.855,-1257.24,0
734837.54700000002,3749045.753,-1255.74,0
734834.65000000002,3749056.5550000002,-1252.9400000000001,0
734842.30299999996,3748925.7230000002,-1273.96,0
734838.79799999995,3748936.7209999999,-1271.76,0
734835.39800000004,3748947.5219999999,-1269.6600000000001,0
734831.70200000005,3748959.1209999998,-1269.3599999999999,0
734828.29299999995,3748969.9190000002,-1268.0599999999999,0
734824.89300000004,3748980.719,-1265.6600000000001,0
734821.29500000004,3748991.6150000002,-1264.5599999999999,0
734817.89500000002,3749002.415,-1262.0599999999999,0
734814.495,3749013.216,-1260.6600000000001,0
734810.59900000005,3749025.213,-1261.5599999999999,0
734807.09199999995,3749036.2209999999,-1260.6600000000001,0
734803.39599999995,3749047.8199999998,-1261.46,0
734844.59400000004,3748878.2859999998,-1284.4400000000001,0
734840.69099999999,3748890.0920000002,-1286.24,0
734837.59600000002,3748900.2859999998,-1280.1400000000001,0
734834.09499999997,3748911.3909999998,-1276.9400000000001,0
734830.49199999997,3748922.389,-1275.74,0
734827.29799999995,3748932.7940000002,-1270.8399999999999,0
734823.29099999997,3748944.892,-1273.54,0
734819.90000000002,3748955.6850000001,-1270.6400000000001,0
734816.29299999995,3748966.892,-1270.4400000000001,0
734812.59400000004,3748978.29,-1270.1400000000001,0
734809.99800000002,3748986.9849999999,-1260.54,0
734806.29599999997,3748998.4879999999,-1260.6400000000001,0
734802.50100000005,3749010.0860000001,-1261.8399999999999,0
734798.70299999998,3749021.6949999998,-1262.6400000000001,0
734795.20499999996,3749032.4959999998,-1261.24,0
734791.505,3749043.8939999999,-1261.54,0
734844.01300000004,3748804.3730000001,-1316.1099999999999,0
734840.40800000005,3748815.571,-1312.71,0
