x,y,z,flag
811673.87199999997,3704148.5589999999,-118.98999999999999,0
811674.47900000005,3704150.2769999998,-118.95,0
811670.84699999995,3704148.145,-119.22,0
811671.495,3704150.0180000002,-119.09,0
811672.07400000002,3704151.682,-119.13,0
811672.55200000003,3704153.105,-119.31,0
811673.20900000003,3704155.0380000002,-119.18000000000001,0
811674.10400000005,3704157.5980000002,-118.59999999999999,0
811674.50800000003,3704158.7930000001,-118.93000000000001,0
811669.58200000005,3704148.9989999998,-118.92,0
811670.10100000002,3704150.514,-119.02,0
811670.73999999999,3704152.327,-118.94,0
811671.65700000001,3704154.9539999999,-118.31,0
811671.93799999997,3704155.7779999999,-118.91,0
811672.495,3704157.4070000001,-118.97,0
811673.16500000004,3704159.3139999998,-118.81999999999999,0
811673.83200000005,3704161.213,-118.7,0
811674.37899999996,3704162.8130000001,-118.77,0
811666.61499999999,3704149.0260000001,-119.04000000000001,0
811667.12600000005,3704150.5440000002,-119.14,0
811667.821,3704152.622,-118.91,0
811668.429,3704154.3709999998,-118.84,0
811668.92700000003,3704155.8829999999,-118.98999999999999,0
811669.44299999997,3704157.4190000002,-119.12,0
811670.054,3704159.21,-119.01000000000001,0
811670.61199999996,3704160.8700000001,-119.01000000000001,0
811671.29700000002,3704162.9199999999,-118.77,0
811671.89199999999,3704164.6630000002,-118.72,0
811672.46900000004,3704166.3799999999,-118.68000000000001,0
811672.90399999998,3704167.6699999999,-118.97,0
811673.49300000002,3704169.4249999998,-118.92,0
811674.17599999998,3704171.4339999999,-118.66,0
811674.68900000001,3704172.9619999998,-118.78,0
811665.228,3704149.5839999998,-118.95,0
811665.77899999998,3704151.193,-118.98,0
811666.48699999996,3704153.247,-118.76000000000001,0
811667.03200000001,3704154.8369999998,-118.78,0
811667.51699999999,3704156.2790000001,-118.93000000000001,0
811668.26300000004,3704158.415,-118.65000000000001,0
811668.84199999995,3704160.1099999999,-118.59999999999999,0
811669.38800000004,3704161.7009999999,-118.66,0
811669.951,3704163.3489999999,-118.69,0
811670.54599999997,3704165.091,-118.66,0
811670.86899999995,3704166.0699999998,-119.15000000000001,0
811671.60199999996,3704168.2000000002,-118.84,0
811671.81499999994,3704168.878,-119.56999999999999,0
811672.92099999997,3704172.0120000001,-118.54000000000001,0
811673.28399999999,3704173.1140000001,-118.97,0
811673.83799999999,3704174.7340000002,-119,0
811674.41200000001,3704176.4100000001,-119.01000000000001,0
811674.75600000005,3704177.4550000001,-119.48999999999999,0
811662.55099999998,3704149.077,-119.09,0
811663.076,3704150.6320000002,-119.13,0
811663.70700000005,3704152.5099999998,-118.94,0
811664.21799999999,3704154.0589999999,-119.01000000000001,0
811664.79000000004,3704155.7259999998,-118.98,0
811665.27599999995,3704157.23,-119.09999999999999,0
811665.81599999999,3704158.8330000001,-119.13,0
811666.30599999998,3704160.3149999999,-119.23,0
811666.799,3704161.807,-119.31,0
811667.35499999998,3704163.4580000001,-119.31999999999999,0
811667.95799999998,3704165.2510000002,-119.20999999999999,0
811668.60100000002,3704167.1349999998,-119.09999999999999,0
811669.25100000005,3704169.102,-118.87,0
811670.07400000002,3704171.497,-118.29000000000001,0
811670.84299999999,3704173.7310000001,-117.84999999999999,0
811671.30799999996,3704175.1690000002,-118.02,0
811671.61899999995,3704176.1409999998,-118.48999999999999,0
811672.05200000003,3704177.452,-118.73,0
811672.43500000006,3704178.6120000002,-119.13,0
811672.93700000003,3704180.1320000002,-119.23999999999999,0
811673.603,3704182.1150000002,-118.97,0
811674.26800000004,3704184.0669999998,-118.78,0
811674.71699999995,3704185.4249999998,-119,0
811660.77800000005,3704148.5619999999,-118.65000000000001,0
811661.04200000002,3704149.392,-119.16,0
811661.48400000005,3704150.7319999998,-119.34,0
811662.20400000003,3704152.8130000001,-119.02,0
811662.804,3704154.5649999999,-118.93000000000001,0
811663.34100000001,3704156.1579999998,-118.95,0
811663.86899999995,3704157.7230000002,-119.02,0
811664.36899999995,3704159.202,-119.14,0
811665.18200000003,3704161.5049999999,-118.67,0
811665.37399999995,3704162.148,-119.34,0
811666.147,3704164.3900000001,-118.93000000000001,0
811666.64000000001,3704165.8509999998,-119.04000000000001,0
811667.05500000005,3704167.0729999999,-119.34999999999999,0
811667.53500000003,3704168.4950000001,-119.51000000000001,0
811668.43400000001,3704171.0860000001,-118.81,0
811669.10600000003,3704173.057,-118.58,0
811669.56499999994,3704174.412,-118.84,0
811669.96100000001,3704175.6099999999,-119.15000000000001,0
811670.48499999999,3704177.165,-119.22,0
811671.07299999997,3704178.8790000002,-119.23999999999999,0
811671.52800000005,3704180.2250000001,-119.48999999999999,0
811672.12800000003,3704182.0079999999,-119.37,0
811672.61899999995,3704183.4589999998,-119.53,0
811673.38800000004,3704185.6600000001,-119.08,0
811673.93200000003,3704187.2719999999,-119.11,0
811674.43400000001,3704188.7609999999,-119.25,0
811658.96200000006,3704148.7510000002,-118.86,0
811659.36199999996,3704149.9569999999,-119.14,0
811660.10800000001,3704152.145,-118.73,0
