x,y,z,flag
528171.92599999998,3927535.1899999999,-3265.0999999999999,0
528187.82400000002,3927553.3960000002,-3274.6999999999998,0
528200.42200000002,3927567.5950000002,-3277.9000000000001,0
528203.82700000005,3927570.5929999999,-3267.6999999999998,0
528218.12600000005,3927586.9939999999,-3275.3000000000002,0
528223.42099999997,3927592.2919999999,-3267.5999999999999,0
528216.37300000002,3927533.0060000001,-3271.8800000000001,0
528145.48400000005,3927531.5490000001,-3272.0700000000002,0
528152.07999999996,3927538.75,-3266.9699999999998,0
528161.68200000003,3927549.75,-3267.9699999999998,0
528172.68000000005,3927562.3450000002,-3268.8699999999999,0
528180.27800000005,3927570.7439999999,-3265.27,0
528191.375,3927583.5469999998,-3268.77,0
528059.07700000005,3927534.932,-3258.8200000000002,0
528067.875,3927544.5359999998,-3255.52,0
528077.28200000001,3927555.233,-3254.9200000000001,0
528086.57900000003,3927565.7340000002,-3256.1199999999999,0
528095.27899999998,3927575.3330000001,-3253.4200000000001,0
528108.48199999996,3927590.5219999999,-3258.8200000000002,0
528113.98199999996,3927596.4249999998,-3252.8200000000002,0
528124.58200000005,3927608.429,-3253.52,0
528133.78099999996,3927618.628,-3251.52,0
528053.25399999996,3927539.673,-3262.7199999999998,0
528058.25399999996,3927545.2719999999,-3254.2199999999998,0
528068.45299999998,3927557.1669999999,-3255.52,0
528077.74600000004,3927567.9679999999,-3255.6199999999999,0
528084.54399999999,3927575.7689999999,-3251.7199999999998,0
528099.24399999995,3927593.0669999998,-3259.1199999999999,0
528100.946,3927594.6690000002,-3246.2199999999998,0
528004.34100000001,3927534.1850000001,-3261.1900000000001,0
528010.43900000001,3927540.8820000002,-3255.5900000000001,0
528018.63699999999,3927550.2850000001,-3253.5900000000001,0
528028.93400000001,3927562.0899999999,-3254.9899999999998,0
528039.13300000003,3927573.8879999998,-3256.1900000000001,0
528049.04200000002,3927585.2880000002,-3256.79,0
528056.13500000001,3927593.3879999998,-3252.8899999999999,0
528060.93799999997,3927598.5869999998,-3246.0900000000001,0
528074.63800000004,3927614.5899999999,-3252.79,0
528084.73499999999,3927626.1839999999,-3253.4899999999998,0
528092.03399999999,3927634.4879999999,-3250.6900000000001,0
527864.82499999995,3927531.6030000001,-3274.71,0
527873.32400000002,3927541.301,-3274.3099999999999,0
527880.12300000002,3927548.8999999999,-3269.9099999999999,0
527887.02000000002,3927556.5060000001,-3265.3099999999999,0
527902.71900000004,3927575.2039999999,-3275.4099999999999,0
527912.321,3927586.1949999998,-3275.4099999999999,0
527917.72499999998,3927592,-3268.5100000000002,0
527923.91799999995,3927598.7999999998,-3262.8099999999999,0
527932.91500000004,3927609.0980000002,-3263.8099999999999,0
527940.72400000005,3927617.8990000002,-3260.4099999999999,0
527952.11800000002,3927631.199,-3262.8099999999999,0
527957.62199999997,3927636.997,-3255.8099999999999,0
527965.62199999997,3927646.0019999999,-3253.8099999999999,0
527973.02599999995,3927654.3999999999,-3251.3099999999999,0
527980.42200000002,3927662.699,-3247.9099999999999,0
527987.71799999999,3927670.898,-3244.4099999999999,0
527997.81700000004,3927682.3969999999,-3244.6100000000001,0
528010.21499999997,3927696.997,-3249.8099999999999,0
528017.31999999995,3927705.0989999999,-3247.0100000000002,0
528026.81400000001,3927715.7990000001,-3245.21,0
528038.821,3927730.1039999998,-3251.8099999999999,0
528044.01899999997,3927735.5980000002,-3245.21,0
528048.21999999997,3927739.798,-3235.3099999999999,0
528059.522,3927752.9010000001,-3238.71,0
528068.31999999995,3927763.094,-3238.9099999999999,0
527909.98999999999,3927527.9500000002,-3275.1399999999999,0
527918.59499999997,3927537.9539999999,-3274.04,0
527921.89399999997,3927541.3489999999,-3262.3400000000001,0
