x,y,z,flag
276075.72100000002,3696409.7650000001,-824.32000000000005,0
276076.02500000002,3696405.3620000002,-823.12,0
276076.11800000002,3696403.764,-820.62,0
276076.723,3696393.4679999999,-822.22000000000003,0
276076.91899999999,3696389.7620000001,-820.72000000000003,0
276077.82299999997,3696374.6630000002,-824.32000000000005,0
276077.82400000002,3696375.1630000002,-820.91999999999996,0
276078.32000000001,3696366.3640000001,-821.62,0
276078.52399999998,3696362.9679999999,-820.32000000000005,0
276078.52000000002,3696362.568,-817.32000000000005,0
276079.32500000001,3696348.466,-820.41999999999996,0
276079.52100000001,3696344.77,-819.12,0
276079.82400000002,3696340.3670000001,-818.22000000000003,0
276080.42099999997,3696329.77,-819.62,0
276081.01699999999,3696319.463,-821.22000000000003,0
276081.01699999999,3696319.9640000002,-818.12,0
276081.41700000002,3696312.8629999999,-817.91999999999996,0
276078.68199999997,3696555.1899999999,-838.40999999999997,0
276078.98100000003,3696550.1860000002,-837.21000000000004,0
276079.283,3696544.8930000002,-836.11000000000001,0
276079.67599999998,3696538.7930000001,-835.50999999999999,0
276079.978,3696533.4890000001,-834.40999999999997,0
276080.37900000002,3696527.6889999998,-833.50999999999999,0
276080.78499999997,3696521.2889999999,-832.90999999999997,0
276081.37900000002,3696511.8930000002,-834.11000000000001,0
276081.78499999997,3696505.4929999998,-833.50999999999999,0
276081.98499999999,3696501.4870000002,-832.00999999999999,0
276082.288,3696496.3939999999,-831.11000000000001,0
276082.58000000002,3696492.091,-829.30999999999995,0
276082.98499999999,3696485.6910000001,-829.00999999999999,0
276083.38199999998,3696478.9900000002,-828.71000000000004,0
276083.78600000002,3696473.3900000001,-828.00999999999999,0
276084.38900000002,3696463.7949999999,-829.11000000000001,0
276084.78600000002,3696458.0950000002,-828.30999999999995,0
276085.18800000002,3696450.7930000001,-828.71000000000004,0
276085.58899999998,3696445.4939999999,-827.71000000000004,0
276085.88699999999,3696440.29,-826.61000000000001,0
276086.78999999998,3696426.1919999998,-830.11000000000001,0
276086.58600000001,3696429.287,-825.11000000000001,0
276087.18900000001,3696420.1919999998,-826.11000000000001,0
276087.58799999999,3696413.6910000001,-825.71000000000004,0
276087.89199999999,3696408.588,-824.90999999999997,0
276088.495,3696398.4920000001,-826.30999999999995,0
276088.79100000003,3696393.5890000002,-825.40999999999997,0
276089.09600000002,3696389.6869999999,-823.90999999999997,0
276089.39399999997,3696384.9939999999,-822.90999999999997,0
276089.89500000002,3696376.696,-823.40999999999997,0
276090.49599999998,3696367.3900000001,-824.40999999999997,0
276086.79200000002,3696550.969,-838.80999999999995,0
276087.19300000003,3696544.469,-838.00999999999999,0
276087.39500000002,3696540.3730000001,-836.21000000000004,0
276087.89399999997,3696531.6749999998,-836.71000000000004,0
276088.19500000001,3696525.571,-836.21000000000004,0
276088.39199999999,3696521.5750000002,-834.30999999999995,0
276088.79800000001,3696514.7760000001,-833.80999999999995,0
276089.19300000003,3696507.5750000002,-833.61000000000001,0
276089.30099999998,3696505.1770000001,-830.90999999999997,0
276089.99400000001,3696493.574,-832.90999999999997,0
276090.39899999998,3696486.7749999999,-832.50999999999999,0
276090.701,3696481.872,-831.21000000000004,0
276091.00300000003,3696476.1690000002,-830.21000000000004,0
276091.30300000001,3696470.0750000002,-829.90999999999997,0
276091.60499999998,3696465.3730000001,-828.30999999999995,0
276092.005,3696457.872,-828.11000000000001,0
276092.005,3696456.8709999998,-825.11000000000001,0
276092.80099999998,3696443.1699999999,-828.11000000000001,0
276093.20199999999,3696436.8709999998,-827.61000000000001,0
276093.40299999999,3696432.1740000001,-826.50999999999999,0
276093.80900000001,3696425.5750000002,-826.40999999999997,0
276094.30800000002,3696417.4780000001,-826.30999999999995,0
276094.60499999998,3696412.4750000001,-825.21000000000004,0
276095.109,3696402.676,-826.61000000000001,0
276095.50900000002,3696396.176,-826.30999999999995,0
276095.70299999998,3696392.8709999998,-824.11000000000001,0
276095.81,3696389.872,-822.21000000000004,0
276096.10700000002,3696385.0699999998,-821.50999999999999,0
276096.31,3696381.7749999999,-819.40999999999997,0
276096.50799999997,3696377.9700000002,-817.90999999999997,0
276097.01199999999,3696368.7710000002,-818.71000000000004,0
276097.21399999998,3696365.0759999999,-817.00999999999999,0
276097.609,3696357.875,-817.21000000000004,0
276096.77299999999,3696548.7059999998,-839.20000000000005,0
276096.97700000001,3696543.7089999998,-837.5,0
276097.375,3696537.4100000001,-837.10000000000002,0
276097.77600000001,3696530.409,-836.70000000000005,0
276098.28200000001,3696522.3130000001,-837.10000000000002,0
