x,y,z,flag
218586.05499999999,3748300.4989999998,-92.590000000000003,0
218585.818,3748306.5159999998,-91.450000000000003,0
218586.008,3748305.7080000001,-91.549999999999997,0
218586.34,3748304.2850000001,-91.430000000000007,0
218586.78,3748302.3429999999,-91.170000000000002,0
218586.86900000001,3748301.983,-91.420000000000002,0
218587.09,3748301.048,-91.409999999999997,0
218587.35699999999,3748299.8879999998,-91.420000000000002,0
218586.01500000001,3748315.0180000002,-91.040000000000006,0
218585.861,3748315.6809999999,-91.650000000000006,0
218586.527,3748312.7429999998,-91.010000000000005,0
218586.758,3748311.7289999998,-91.049999999999997,0
218587.065,3748310.3620000002,-90.969999999999999,0
218587.337,3748309.182,-90.950000000000003,0
218587.59400000001,3748308.0189999999,-90.930000000000007,0
218588.14300000001,3748305.5980000002,-90.379999999999995,0
218588.21900000001,3748305.2459999998,-90.680000000000007,0
218588.49400000001,3748304.0150000001,-90.640000000000001,0
218588.63800000001,3748303.3909999998,-90.790000000000006,0
218588.84,3748302.4929999998,-90.900000000000006,0
218589.076,3748301.5,-90.939999999999998,0
218589.30100000001,3748300.463,-91,0
218585.802,3748320.0219999999,-91.450000000000003,0
218586.15299999999,3748318.5419999999,-91.349999999999994,0
218586.32800000001,3748317.7609999999,-91.439999999999998,0
218586.54000000001,3748316.8339999998,-91.530000000000001,0
218586.891,3748315.3539999998,-91.430000000000007,0
218587.264,3748313.7450000001,-91.280000000000001,0
218587.32999999999,3748313.483,-91.530000000000001,0
218587.693,3748311.9550000001,-91.359999999999999,0
218587.853,3748311.2319999998,-91.5,0
218587.995,3748310.628,-91.680000000000007,0
218588.277,3748309.4610000001,-91.709999999999994,0
218588.389,3748308.932,-91.909999999999997,0
218588.59099999999,3748308.085,-92,0
218589.198,3748305.503,-91.469999999999999,0
218589.71400000001,3748303.281,-91.019999999999996,0
218589.83600000001,3748302.7540000002,-91.200000000000003,0
218590.11600000001,3748301.5559999999,-91.209999999999994,0
218590.228,3748301.068,-91.450000000000003,0
218586.95999999999,3748324.4819999998,-91.620000000000005,0
218587.11799999999,3748323.7689999999,-91.75,0
218587.62100000001,3748321.5630000001,-91.420000000000002,0
218588.06700000001,3748319.54,-91.090000000000003,0
