x,y,z,flag
821498.96900000004,3700601.8110000002,-305.38,0
821500.00600000005,3700604.577,-305.48000000000002,0
821500.26500000001,3700605.3879999998,-306.18000000000001,0
821488.83600000001,3700581.3500000001,-304.04000000000002,0
821489.17700000003,3700582.3760000002,-304.74000000000001,0
821490.80599999998,3700587.182,-303.94,0
821490.89399999997,3700587.3849999998,-304.94,0
821491.40300000005,3700588.9139999999,-305.63999999999999,0
821492.51399999997,3700592.1940000001,-305.44,0
821493.64099999995,3700595.3629999999,-305.24000000000001,0
821494.33900000004,3700597.2089999998,-305.74000000000001,0
821495.79399999999,3700601.3969999999,-305.13999999999999,0
821496.21400000004,3700602.7239999999,-305.83999999999997,0
821496.56400000001,3700603.6519999998,-306.74000000000001,0
821497.076,3700605.2850000001,-307.13999999999999,0
821498.87199999997,3700610.5950000002,-306.24000000000001,0
821499.90099999995,3700613.5639999998,-306.44,0
821499.98999999999,3700613.767,-307.54000000000002,0
821481.50100000005,3700581.0449999999,-304.74000000000001,0
821483.054,3700585.2429999998,-304.24000000000001,0
821483.57200000004,3700586.6740000001,-304.74000000000001,0
821484.08299999998,3700588.3080000002,-305.13999999999999,0
821485.29200000002,3700591.787,-305.24000000000001,0
821486.06900000002,3700593.9339999999,-305.44,0
821487.52800000005,3700598.1320000002,-304.83999999999997,0
821487.79299999995,3700598.7400000002,-305.74000000000001,0
821488.73400000005,3700601.5070000002,-305.74000000000001,0
821489.33400000003,3700603.2480000001,-306.24000000000001,0
821489.86100000003,3700604.5809999998,-306.94,0
821491.31900000002,3700608.8739999998,-306.33999999999997,0
821491.91599999997,3700610.6060000001,-306.83999999999997,0
821493.473,3700614.909,-306.33999999999997,0
821493.98999999999,3700616.3399999999,-306.94,0
821495.02899999998,3700619.2119999998,-307.04000000000002,0
821495.96699999995,3700621.969,-307.04000000000002,0
821496.82499999995,3700624.426,-307.24000000000001,0
821498.12300000002,3700628.108,-307.04000000000002,0
821498.90000000002,3700630.1600000001,-307.44,0
821500.37399999995,3700634.247,-306.94,0
821470.37699999998,3700570.1150000002,-300.57999999999998,0
821471.25800000003,3700572.2689999999,-300.77999999999997,0
821472.03200000001,3700574.4160000002,-300.98000000000002,0
821472.80900000001,3700576.6680000001,-301.18000000000001,0
821473.57299999997,3700578.9139999999,-301.48000000000002,0
821474.44799999997,3700581.1749999998,-301.68000000000001,0
821475.22199999995,3700583.4169999999,-301.88,0
821475.83299999998,3700584.9539999999,-302.38,0
821476.94499999995,3700588.3289999999,-302.38,0
821478.33200000005,3700592.023,-301.98000000000002,0
821479.10600000003,3700594.2650000001,-302.18000000000001,0
821479.19499999995,3700594.4679999999,-303.18000000000001,0
821480.14399999997,3700597.1370000001,-303.38,0
821481.43900000001,3700600.7140000002,-303.07999999999998,0
821481.44900000002,3700600.6159999999,-304.27999999999997,0
821483.26000000001,3700605.73,-303.38,0
821484.63899999997,3700609.6170000001,-303.07999999999998,0
821485.33299999998,3700611.4640000002,-303.57999999999998,0
821485.495,3700612.074,-304.38,0
821486.96299999999,3700616.1639999999,-303.98000000000002,0
821488.424,3700620.361,-303.48000000000002,0
821489.03500000003,3700621.898,-304.07999999999998,0
821489.30000000005,3700622.622,-304.98000000000002,0
821489.90099999995,3700624.352,-305.48000000000002,0
821490.50600000005,3700625.9959999998,-305.98000000000002,0
821492.40700000001,3700631.3130000001,-305.07999999999998,0
821493.36199999996,3700633.875,-305.38,0
821494.13500000001,3700636.0219999999,-305.68000000000001,0
821495.16399999999,3700638.9920000001,-305.68000000000001,0
821495.50800000003,3700640.017,-306.57999999999998,0
821496.29000000004,3700642.0660000001,-306.88,0
821497.49699999997,3700645.4410000001,-306.77999999999997,0
821498.53500000003,3700648.4070000001,-306.88,0
821499.74199999997,3700651.7820000001,-306.68000000000001,0
821500.18400000001,3700652.8160000001,-307.48000000000002,0
821500.77899999998,3700654.6540000001,-308.07999999999998,0
821465.06599999999,3700575.4440000001,-299.18000000000001,0
821466.02099999995,3700578.0049999999,-299.27999999999997,0
821466.804,3700580.0550000002,-299.38,0
821467.66599999997,3700582.4040000001,-299.57999999999998,0
821468.79299999995,3700585.4780000001,-299.48000000000002,0
821468.96499999997,3700585.9909999999,-300.38,0
821470.26399999997,3700589.577,-300.07999999999998,0
821470.95400000003,3700591.415,-300.48000000000002,0
821471.04700000002,3700591.6269999999,-301.57999999999998,0
821471.91299999994,3700594.0809999998,-301.77999999999997,0
821473.647,3700598.682,-301.07999999999998,0
821474.946,3700602.2689999999,-300.68000000000001,0
821475.81799999997,3700604.5210000002,-301.07999999999998,0
821476.75699999998,3700607.2880000002,-301.07999999999998,0
821477.72100000002,3700609.7519999999,-301.27999999999997,0
821478.07200000004,3700610.6690000002,-301.98000000000002,0
