x,y,z,flag
189521.43700000001,3744193.7820000001,-755.38,0
189523.23000000001,3744185.0580000002,-753.48000000000002,0
189522.364,3744258.7439999999,-751.27999999999997,0
189524.01800000001,3744249.3300000001,-750.38,0
189525.837,3744239.2039999999,-750.67999999999995,0
189527.75,3744229.0639999998,-751.27999999999997,0
189529.986,3744217.6090000002,-754.98000000000002,0
189531.652,3744208.2990000001,-753.27999999999997,0
189533.47500000001,3744198.2659999998,-753.58000000000004,0
189535.12899999999,3744188.852,-752.38,0
189522.31700000001,3744330.2259999998,-750.48000000000002,0
189522.30300000001,3744309.3969999999,-752.17999999999995,0
189524.13699999999,3744299.5789999999,-751.77999999999997,0
189525.96100000001,3744289.6460000002,-751.67999999999995,0
189527.94699999999,3744279.0109999999,-753.27999999999997,0
189529.70300000001,3744269.585,-752.38,0
189531.59299999999,3744259.156,-753.27999999999997,0
189533.26199999999,3744249.9380000001,-751.77999999999997,0
189535.253,3744239.395,-752.88,0
189537.08900000001,3744229.5669999998,-753.17999999999995,0
189538.74100000001,3744220.1529999999,-751.77999999999997,0
189540.921,3744209.3990000002,-753.58000000000004,0
189542.74299999999,3744199.477,-753.67999999999995,0
189544.58100000001,3744189.75,-753.08000000000004,0
189521.17800000001,3744391.676,-748.91999999999996,0
189522.78599999999,3744381.463,-749.12,0
189524.318,3744371.7549999999,-748.22000000000003,0
189526.02299999999,3744361.4360000002,-749.22000000000003,0
189527.82800000001,3744351.0010000002,-750.82000000000005,0
189529.348,3744341.0989999999,-750.51999999999998,0
189531.065,3744330.9739999999,-750.51999999999998,0
189532.67999999999,3744320.8539999998,-750.62,0
189536.236,3744311.3429999999,-749.82000000000005,0
189538.101,3744300.5120000001,-752.12,0
189539.81700000001,3744290.3870000001,-752.12,0
189541.52799999999,3744280.1699999999,-752.91999999999996,0
189543.24900000001,3744270.1469999999,-752.41999999999996,0
189544.79699999999,3744260.5329999998,-751.82000000000005,0
189546.51300000001,3744250.4079999998,-751.51999999999998,0
189548.223,3744240.3930000002,-752.01999999999998,0
189550.109,3744229.7570000002,-752.91999999999996,0
189551.91200000001,3744219.3319999999,-753.62,0
189553.54000000001,3744209.517,-753.41999999999996,0
189555.35399999999,3744199.2850000001,-753.91999999999996,0
189557.15700000001,3744189.0619999999,-754.51999999999998,0
189521.891,3744453.6400000001,-748.51999999999998,0
189523.408,3744443.6260000002,-747.01999999999998,0
189525.02299999999,3744433.5060000001,-747.91999999999996,0
189526.73800000001,3744423.3909999998,-748.72000000000003,0
189528.25099999999,3744413.2749999999,-748.22000000000003,0
189529.96599999999,3744403.1600000001,-748.91999999999996,0
189531.59899999999,3744393.2450000001,-748.82000000000005,0
189533.29500000001,3744382.9240000001,-749.32000000000005,0
189534.83300000001,3744373.1060000001,-749.12,0
189536.54800000001,3744362.9909999999,-749.62,0
189538.25,3744352.7629999998,-749.41999999999996,0
189539.88399999999,3744342.8480000002,-749.32000000000005,0
189541.58499999999,3744332.6290000002,-749.82000000000005,0
189544.28099999999,3744322.0559999999,-752.01999999999998,0
189546.16500000001,3744311.4309999999,-753.41999999999996,0
189547.886,3744301.4070000001,-753.51999999999998,0
189549.33600000001,3744291.8999999999,-751.82000000000005,0
189551.05799999999,3744281.8769999999,-751.41999999999996,0
189552.85999999999,3744271.6540000001,-752.32000000000005,0
189554.49900000001,3744261.841,-751.72000000000003,0
189556.39999999999,3744251.5010000002,-752.91999999999996,0
189558.28400000001,3744240.875,-753.72000000000003,0
189559.83600000001,3744231.3629999999,-752.41999999999996,0
189561.72700000001,3744220.8289999999,-753.41999999999996,0
189563.63200000001,3744210.591,-753.91999999999996,0
189565.27600000001,3744200.8799999999,-753.72000000000003,0
189567.00200000001,3744190.9589999998,-752.82000000000005,0
189521.82000000001,3744521.2510000002,-746.65999999999997,0
189523.361,3744511.534,-747.65999999999997,0
189524.905,3744501.9300000002,-746.65999999999997,0
189526.53400000001,3744492.1060000001,-746.15999999999997,0
189528.07399999999,3744482.3999999999,-746.75999999999999,0
189529.804,3744472.5819999999,-748.55999999999995,0
189531.34599999999,3744462.8659999999,-747.75999999999999,0
189532.97700000001,3744453.1540000001,-748.15999999999997,0
189534.519,3744443.4380000001,-747.96000000000004,0
189536.14999999999,3744433.7259999998,-747.65999999999997,0
189537.87700000001,3744423.807,-748.75999999999999,0
189539.601,3744413.7859999998,-750.36000000000001,0
189541.149,3744404.2740000002,-749.15999999999997,0
189542.69,3744394.557,-748.86000000000001,0
189544.42000000001,3744384.7400000002,-749.36000000000001,0
189546.049,3744374.926,-749.55999999999995,0
189547.772,3744364.9049999998,-750.05999999999995,0
189549.32000000001,3744355.3930000002,-749.36000000000001,0
189550.967,3744345.7749999999,-749.15999999999997,0
189552.67999999999,3744335.7519999999,-750.05999999999995,0
189554.32399999999,3744326.0320000001,-750.05999999999995,0
189556.427,3744315.7999999998,-751.36000000000001,0
189558.07399999999,3744306.182,-751.05999999999995,0
189559.71900000001,3744296.574,-750.75999999999999,0
189561.454,3744286.8489999999,-750.96000000000004,0
189563.00599999999,3744277.4380000001,-750.15999999999997,0
189564.82800000001,3744267.3119999999,-751.05999999999995,0
189566.71599999999,3744256.7799999998,-753.05999999999995,0
189568.44500000001,3744246.8509999998,-753.36000000000001,0
189570.07999999999,3744237.2420000001,-752.96000000000004,0
189571.723,3744227.5219999999,-753.15999999999997,0
189573.459,3744217.7969999998,-752.65999999999997,0
