x,y,z,flag
749576.04799999995,3739725.8459999999,-874,0
749578.97900000005,3739801.2590000001,-871.88999999999999,0
749579.72699999996,3739738.8849999998,-872.09000000000003,0
749584.62699999998,3739731.9849999999,-872.19000000000005,0
749589.72699999996,3739724.7850000001,-873.69000000000005,0
749579.15000000002,3739810.3089999999,-873.15999999999997,0
749583.94999999995,3739803.2050000001,-873.25999999999999,0
749576.98800000001,3739767.534,-873.75999999999999,0
749581.79599999997,3739760.4360000002,-873.86000000000001,0
749586.38899999997,3739753.531,-874.15999999999997,0
749591.19200000004,3739746.3330000001,-874.46000000000004,0
749596.08900000004,3739739.1379999998,-875.46000000000004,0
749600.78899999999,3739732.04,-874.75999999999999,0
749605.58900000004,3739724.9360000002,-874.25999999999999,0
749577.38800000004,3739829.804,-870.98000000000002,0
749582.19400000002,3739822.608,-870.67999999999995,0
749586.98899999994,3739815.5010000002,-871.88,0
749591.88600000006,3739808.4029999999,-873.77999999999997,0
749580.13399999996,3739780.0320000001,-873.77999999999997,0
749584.92799999996,3739772.9249999998,-874.08000000000004,0
749589.73499999999,3739765.73,-875.08000000000004,0
749594.429,3739758.628,-874.27999999999997,0
749599.22699999996,3739751.5350000001,-874.38,0
749604.02500000002,3739744.3330000001,-874.38,0
749608.82799999998,3739737.2319999998,-875.27999999999997,0
749613.72600000002,3739730.0249999999,-876.27999999999997,0
749618.52399999998,3739722.824,-875.98000000000002,0
749577.46900000004,3739842.889,-872,0
749582.06999999995,3739835.8930000002,-872.20000000000005,0
749586.86300000001,3739828.5929999999,-872.20000000000005,0
749591.67000000004,3739821.2889999999,-872.20000000000005,0
749596.571,3739813.9879999999,-873,0
749582.90500000003,3739794.52,-872.29999999999995,0
749587.70400000003,3739787.3190000001,-873.29999999999995,0
749592.80500000005,3739779.7179999999,-874.20000000000005,0
749597.61199999996,3739772.523,-874.10000000000002,0
749602.50399999996,3739765.2170000002,-875.39999999999998,0
749607.30599999998,3739757.9219999998,-876.29999999999995,0
749612.21200000006,3739750.7209999999,-876.29999999999995,0
749617.10499999998,3739743.4139999999,-876.29999999999995,0
749621.804,3739736.219,-875.79999999999995,0
749626.70999999996,3739729.0180000002,-876.10000000000002,0
749580.59199999995,3739856.0449999999,-872.49000000000001,0
749585.38399999996,3739848.6469999999,-872.59000000000003,0
749590.18799999997,3739841.3420000002,-871.99000000000001,0
749594.99100000004,3739834.1439999999,-873.09000000000003,0
749599.88899999997,3739826.841,-873.28999999999996,0
749604.58400000003,3739819.6439999999,-871.99000000000001,0
749591.027,3739799.8799999999,-873.49000000000001,0
749595.92200000002,3739792.6710000001,-873.88999999999999,0
749600.71999999997,3739785.3739999998,-874.99000000000001,0
749605.62300000002,3739778.1710000001,-874.49000000000001,0
749610.42099999997,3739770.8730000001,-874.99000000000001,0
749615.22499999998,3739763.676,-874.88999999999999,0
749620.32200000004,3739756.074,-875.59000000000003,0
749625.22600000002,3739748.8709999998,-877.28999999999996,0
749630.02899999998,3739741.673,-876.78999999999996,0
749634.92700000003,3739734.3700000001,-875.99000000000001,0
749639.82499999995,3739727.176,-878.19000000000005,0
749576.228,3739882.4509999999,-870.80999999999995,0
749581.32700000005,3739874.9580000001,-870.90999999999997,0
749586.43000000005,3739867.6499999999,-872.80999999999995,0
749591.52099999995,3739860.1510000001,-872.40999999999997,0
749596.625,3739852.6490000002,-871.61000000000001,0
749601.72400000005,3739845.156,-871.21000000000004,0
749606.82400000002,3739837.7489999998,-872.00999999999999,0
749611.92299999995,3739830.2549999999,-871.71000000000004,0
749595.67500000005,3739808.2880000002,-873.61000000000001,0
749600.77500000002,3739800.8799999999,-875.40999999999997,0
749605.87,3739793.4810000001,-874.40999999999997,0
749610.97400000005,3739785.9789999998,-874.61000000000001,0
749616.17299999995,3739778.4819999998,-874.21000000000004,0
749621.37199999997,3739770.9849999999,-874.61000000000001,0
749626.47600000002,3739763.6779999998,-874.90999999999997,0
749631.57400000002,3739756.1839999999,-874.90999999999997,0
749636.674,3739748.7769999998,-874.40999999999997,0
749641.973,3739741.2760000001,-875.00999999999999,0
749647.37699999998,3739733.483,-878.30999999999995,0
749652.56799999997,3739725.98,-878.30999999999995,0
749579.37600000005,3739895.5929999999,-870.50999999999999,0
749584.46699999995,3739888.094,-871.00999999999999,0
749589.57499999995,3739880.6919999998,-871.21000000000004,0
749594.66899999999,3739873.2930000001,-872.00999999999999,0
749599.77399999998,3739865.7910000002,-872.00999999999999,0
749604.87300000002,3739858.298,-871.90999999999997,0
749609.96900000004,3739850.79,-871.50999999999999,0
749615.07200000004,3739843.3969999999,-871.90999999999997,0
749620.26599999995,3739835.9939999999,-872.80999999999995,0
749603.80799999996,3739813.8199999998,-873.11000000000001,0
749608.91099999996,3739806.4270000001,-873.00999999999999,0
749614.01100000006,3739799.0189999999,-873.50999999999999,0
749619.10999999999,3739791.5260000001,-873.50999999999999,0
749624.30799999996,3739784.0290000001,-872.90999999999997,0
749629.51300000004,3739776.523,-873.90999999999997,0
749634.61100000003,3739769.2239999999,-874.40999999999997,0
749639.81000000006,3739761.727,-874.71000000000004,0
749645.01399999997,3739754.2209999999,-875.30999999999995,0
749650.31299999997,3739746.7200000002,-875.80999999999995,0
749655.40700000001,3739739.321,-875.90999999999997,0
749660.60600000003,3739731.824,-875.71000000000004,0
749665.80900000001,3739724.4270000001,-875.71000000000004,0
749578.33499999996,3739914.7969999998,-870.84000000000003,0
749583.43000000005,3739907.398,-870.94000000000005,0
749588.73300000001,3739899.79,-871.63999999999999,0
749593.92599999998,3739892.4959999998,-872.63999999999999,0
749599.13199999998,3739884.9920000001,-873.24000000000001,0
749604.43400000001,3739877.298,-872.13999999999999,0
749609.52899999998,3739869.8990000002,-872.24000000000001,0
749614.82999999996,3739862.3990000002,-872.34000000000003,0
749620.03300000005,3739854.7949999999,-872.34000000000003,0
749625.33299999998,3739847.2949999999,-872.84000000000003,0
749630.63300000003,3739839.7960000001,-873.03999999999996,0
749614.68000000005,3739817.3220000002,-873.44000000000005,0
749619.97699999996,3739809.7220000001,-873.44000000000005,0
749625.17700000003,3739802.2259999998,-873.24000000000001,0
749630.57799999998,3739794.7239999999,-874.24000000000001,0
749635.875,3739787.1239999998,-874.44000000000005,0
749641.18000000005,3739779.5299999998,-875.44000000000005,0
749646.58100000001,3739772.0279999999,-875.63999999999999,0
749651.77899999998,3739764.5180000002,-875.94000000000005,0
749657.07900000003,3739757.0180000002,-875.03999999999996,0
749662.67599999998,3739749.324,-879.34000000000003,0
749668.07799999998,3739741.6269999999,-878.63999999999999,0
749673.27300000004,3739734.2250000001,-877.74000000000001,0
749678.48199999996,3739726.821,-876.53999999999996,0
749575.87399999995,3739935.3160000001,-869.23000000000002,0
749581.07200000004,3739927.915,-870.23000000000002,0
749586.27000000002,3739920.5150000001,-870.42999999999995,0
749591.37300000002,3739913.1090000002,-871.33000000000004,0
749596.67599999998,3739905.6120000002,-872.23000000000002,0
749601.77099999995,3739898.1140000001,-872.23000000000002,0
749607.07400000002,3739890.6170000001,-872.83000000000004,0
749612.37699999998,3739883.1189999999,-873.92999999999995,0
749617.571,3739875.4109999998,-872.23000000000002,0
749622.77399999998,3739867.9160000002,-872.23000000000002,0
749628.07700000005,3739860.4180000001,-872.83000000000004,0
749633.37199999997,3739852.915,-872.83000000000004,0
749638.67200000002,3739845.318,-873.42999999999995,0
749622.73100000003,3739822.7439999999,-873.52999999999997,0
749627.92599999998,3739815.2429999998,-873.13,0
749633.22900000005,3739807.7459999998,-872.73000000000002,0
749638.52899999998,3739800.148,-873.42999999999995,0
749643.924,3739792.642,-874.02999999999997,0
749649.22400000005,3739785.0440000002,-874.42999999999995,0
749654.424,3739777.7439999999,-874.33000000000004,0
749659.72699999996,3739770.2459999998,-875.02999999999997,0
749665.12699999998,3739762.6460000002,-876.33000000000004,0
749670.43000000005,3739755.148,-875.73000000000002,0
749675.92700000003,3739747.4449999998,-877.02999999999997,0
749681.125,3739740.0449999999,-877.23000000000002,0
749686.42799999996,3739732.5469999998,-877.02999999999997,0
749692.03000000003,3739724.747,-878.92999999999995,0
749579.696,3739949.3110000002,-871.35000000000002,0
749584.90099999995,3739941.8050000002,-871.95000000000005,0
749590.20200000005,3739934.1099999999,-871.35000000000002,0
749595.49699999997,3739926.5090000001,-871.54999999999995,0
749600.69299999997,3739918.9109999998,-871.75,0
749606.005,3739911.4079999998,-872.04999999999995,0
749611.29799999995,3739903.7069999999,-872.45000000000005,0
749616.59699999995,3739896.2059999998,-872.85000000000002,0
749621.99800000002,3739888.5079999999,-873.14999999999998,0
749627.196,3739881.0099999998,-873.25,0
749632.50300000003,3739873.307,-872.54999999999995,0
749637.89800000004,3739865.7039999999,-873.75,0
749643.30200000003,3739858.1060000001,-874.75,0
749648.70600000001,3739850.5079999999,-876.64999999999998,0
749633.75399999996,3739829.0380000002,-875.75999999999999,0
749639.15599999996,3739821.3399999999,-875.15999999999997,0
749644.44799999997,3739813.6400000001,-875.36000000000001,0
749649.85199999996,3739806.0419999999,-875.15999999999997,0
749655.25300000003,3739798.344,-876.15999999999997,0
749660.652,3739790.841,-876.96000000000004,0
749665.95299999998,3739783.1460000002,-876.25999999999999,0
749671.25100000005,3739775.645,-876.46000000000004,0
749676.75199999998,3739767.9440000001,-877.25999999999999,0
749682.04799999995,3739760.344,-876.96000000000004,0
749687.45200000005,3739752.7459999998,-877.55999999999995,0
749693.05000000005,3739744.943,-879.15999999999997,0
749698.451,3739737.2450000001,-879.75999999999999,0
749703.75199999998,3739729.6359999999,-878.65999999999997,0
749577.56799999997,3739970.1159999999,-869.27999999999997,0
749582.76899999997,3739962.6200000001,-870.08000000000004,0
749588.06499999994,3739954.9219999998,-870.27999999999997,0
749593.26100000006,3739947.52,-870.77999999999997,0
749598.46200000006,3739939.8160000001,-871.08000000000004,0
749603.76100000006,3739932.2170000002,-870.77999999999997,0
749609.06499999994,3739924.8190000001,-872.77999999999997,0
749614.26100000006,3739917.4169999999,-874.27999999999997,0
749619.66200000001,3739909.4130000002,-872.27999999999997,0
749624.86300000001,3739901.9169999999,-872.77999999999997,0
749630.26199999999,3739894.3160000001,-873.67999999999995,0
749635.45999999996,3739886.7200000002,-873.67999999999995,0
749640.85600000003,3739879.0189999999,-873.58000000000004,0
749646.16000000003,3739871.412,-873.38,0
749651.55900000001,3739863.8100000001,-874.17999999999995,0
749656.96200000006,3739856.1150000002,-874.67999999999995,0
749641.79399999999,3739834.6460000002,-874.27999999999997,0
749647.19700000004,3739826.9509999999,-874.58000000000004,0
749652.696,3739819.3459999999,-876.77999999999997,0
749658.00300000003,3739811.5449999999,-876.67999999999995,0
749663.39000000001,3739804.0460000001,-876.48000000000002,0
749668.69999999995,3739796.3450000002,-876.27999999999997,0
749674.09499999997,3739788.6439999999,-876.88,0
749679.397,3739781.145,-876.58000000000004,0
749684.79500000004,3739773.5430000001,-876.27999999999997,0
749690.299,3739765.8450000002,-877.48000000000002,0
749695.90000000002,3739758.0440000002,-880.27999999999997,0
749701.19900000002,3739750.4449999998,-878.77999999999997,0
749706.59400000004,3739742.7429999998,-879.48000000000002,0
749711.99300000002,3739735.142,-878.98000000000002,0
749717.39399999997,3739727.6400000001,-878.98000000000002,0
749580.58299999998,3739980.9389999998,-869.34000000000003,0
749585.48899999994,3739973.6409999998,-871.03999999999996,0
749590.48899999994,3739966.2390000001,-871.13999999999999,0
749595.48999999999,3739958.534,-871.53999999999996,0
749600.48899999994,3739951.2400000002,-872.74000000000001,0
749605.58400000003,3739943.5389999999,-872.13999999999999,0
749610.58900000004,3739936.0419999999,-873.13999999999999,0
749615.68299999996,3739928.3399999999,-872.53999999999996,0
749620.79200000002,3739920.6359999999,-872.84000000000003,0
749625.78799999994,3739913.1340000001,-873.13999999999999,0
749630.88699999999,3739905.5329999998,-873.84000000000003,0
749635.89199999999,3739898.0359999998,-873.03999999999996,0
749640.98499999999,3739890.443,-873.34000000000003,0
749646.08600000001,3739882.733,-873.34000000000003,0
749651.18900000001,3739875.3399999999,-874.24000000000001,0
749656.28899999999,3739867.7379999999,-874.24000000000001,0
749661.38300000003,3739860.037,-873.53999999999996,0
749652.52300000004,3739842.8629999999,-875.74000000000001,0
749657.72499999998,3739835.2710000002,-875.74000000000001,0
749662.72100000002,3739827.7680000002,-874.94000000000005,0
749667.821,3739820.1669999999,-875.13999999999999,0
749673.02899999998,3739812.5660000001,-876.44000000000005,0
749678.22199999995,3739804.9679999999,-877.44000000000005,0
749683.326,3739797.4670000002,-877.13999999999999,0
749688.42599999998,3739789.8650000002,-876.53999999999996,0
749693.62399999995,3739782.3670000001,-877.24000000000001,0
749699.13,3739774.3640000001,-879.63999999999999,0
749704.223,3739766.7710000002,-879.44000000000005,0
749709.42299999995,3739759.165,-880.13999999999999,0
749714.625,3739751.5729999999,-879.94000000000005,0
749719.62600000005,3739744.1699999999,-879.24000000000001,0
749724.81999999995,3739736.4640000002,-879.53999999999996,0
749730.22600000002,3739728.7680000002,-880.63999999999999,0
749578.98400000005,3740002.3739999998,-870.44000000000005,0
749584.08799999999,3739994.679,-870.44000000000005,0
749588.98699999996,3739987.074,-870.03999999999996,0
749593.98899999994,3739979.6719999998,-871.13999999999999,0
749598.98600000003,3739972.1710000001,-871.74000000000001,0
749604.08600000001,3739964.3760000002,-871.13999999999999,0
749608.98300000001,3739956.8790000002,-871.44000000000005,0
749614.08400000003,3739949.2779999999,-871.74000000000001,0
749619.08900000004,3739941.7829999998,-872.44000000000005,0
749624.08700000006,3739934.281,-873.44000000000005,0
749629.18700000003,3739926.6809999999,-873.13999999999999,0
749634.18500000006,3739919.179,-874.13999999999999,0
749639.38899999997,3739911.4789999998,-875.53999999999996,0
749644.39099999995,3739904.0780000002,-875.24000000000001,0
749649.49100000004,3739896.2829999998,-874.44000000000005,0
749654.59199999995,3739888.6830000002,-874.63999999999999,0
749659.59199999995,3739881.0869999998,-873.94000000000005,0
749664.79299999995,3739873.4810000001,-874.63999999999999,0
749669.89399999997,3739865.8810000001,-874.74000000000001,0
749660.83200000005,3739848.6150000002,-875.03999999999996,0
749666.03300000005,3739841.0099999998,-875.24000000000001,0
749671.13399999996,3739833.409,-875.44000000000005,0
749676.22999999998,3739826.0109999999,-876.34000000000003,0
749681.53799999994,3739818.2119999998,-877.34000000000003,0
749686.73300000001,3739810.6159999999,-877.53999999999996,0
749691.83900000004,3739803.1150000002,-877.63999999999999,0
749696.93500000006,3739795.4139999999,-877.44000000000005,0
749702.14000000001,3739787.909,-877.24000000000001,0
