x,y,z,flag
781437.77800000005,3717925.0729999999,-620.75999999999999,0
781445.58200000005,3717927.0729999999,-618.15999999999997,0
781412.00100000005,3717924.7850000001,-620.87,0
781419.99600000004,3717926.8820000002,-619.37,0
781427.99300000002,3717929.0830000001,-619.37,0
781436.09699999995,3717931.3859999999,-620.47000000000003,0
781444.00300000003,3717933.5819999999,-619.16999999999996,0
781451.799,3717935.6860000002,-617.26999999999998,0
781383.06000000006,3717923.9619999998,-623.11000000000001,0
781391.55900000001,3717926.264,-622.50999999999999,0
781399.85900000005,3717928.46,-621.61000000000001,0
781408.16500000004,3717930.6680000001,-620.21000000000004,0
781416.46499999997,3717932.8640000001,-620.40999999999997,0
781424.76500000001,3717935.0600000001,-619.11000000000001,0
781433.06200000003,3717937.2650000001,-618.30999999999995,0
781441.36399999994,3717939.5660000001,-618.30999999999995,0
781449.55900000001,3717941.764,-617.61000000000001,0
781365,3717924.1340000001,-625.30999999999995,0
781373.49600000004,3717926.3330000001,-623.30999999999995,0
781381.49100000004,3717929.8679999998,-624.40999999999997,0
781389.98199999996,3717931.9730000002,-622.30999999999995,0
781398.28399999999,3717934.2740000002,-621.71000000000004,0
781406.68799999997,3717936.469,-621.00999999999999,0
781415.08400000003,3717938.7659999998,-622.71000000000004,0
781423.28300000005,3717940.8739999998,-619.50999999999999,0
781431.58299999998,3717943.071,-618.61000000000001,0
781439.78700000001,3717945.273,-617.71000000000004,0
781448.08900000004,3717947.5750000002,-618.11000000000001,0
781334.29700000002,3717924.3429999999,-626.02999999999997,0
781342.902,3717926.6370000001,-624.83000000000004,0
781351.30000000005,3717929.0389999999,-625.92999999999995,0
781359.90099999995,3717931.2390000001,-624.13,0
781368.39399999997,3717933.6370000001,-623.92999999999995,0
781376.89300000004,3717935.943,-623.63,0
781385.38399999996,3717937.977,-623.13,0
781393.88300000003,3717940.2829999998,-621.42999999999995,0
781402.38399999996,3717942.5789999999,-621.73000000000002,0
781410.78200000001,3717944.9810000001,-621.52999999999997,0
781419.18599999999,3717947.1779999998,-619.52999999999997,0
781427.48999999999,3717949.5839999998,-619.42999999999995,0
781435.88600000006,3717951.8820000002,-618.23000000000002,0
781444.18799999997,3717954.1850000001,-617.23000000000002,0
781452.48999999999,3717956.4870000002,-616.63,0
781306.31099999999,3717924.6600000001,-628.89999999999998,0
781314.81000000006,3717926.963,-629.10000000000002,0
781323.71499999997,3717929.2659999998,-626.5,0
781332.31799999997,3717931.5669999998,-626.29999999999995,0
781340.91200000001,3717933.8650000002,-625.39999999999998,0
781349.31900000002,3717936.1630000002,-626.10000000000002,0
781358.01699999999,3717938.46,-624.5,0
781366.62100000004,3717940.7609999999,-623.5,0
781375.01199999999,3717943.2620000001,-625,0
781383.41000000003,3717945.2969999998,-622.29999999999995,0
781391.90899999999,3717947.6000000001,-621.60000000000002,0
781400.40800000005,3717949.9029999999,-621.10000000000002,0
781408.69999999995,3717952.2000000002,-620.20000000000005,0
781417.20400000003,3717954.5980000002,-619.79999999999995,0
781425.50600000005,3717956.8969999999,-618.39999999999998,0
781433.90399999998,3717959.1919999998,-617.89999999999998,0
781442.30299999996,3717961.5920000002,-617.39999999999998,0
781450.60199999996,3717963.9010000001,-617.29999999999995,0
781281.11100000003,3717923.9040000001,-630.55999999999995,0
781289.61600000004,3717926.1060000001,-630.36000000000001,0
781298.31700000004,3717928.3100000001,-629.05999999999995,0
781306.71100000001,3717930.503,-629.15999999999997,0
781315.11100000003,3717932.7089999998,-629.15999999999997,0
781323.91399999999,3717934.8050000002,-625.15999999999997,0
781332.31499999994,3717937.0109999999,-625.36000000000001,0
781340.71100000001,3717939.3089999999,-625.65999999999997,0
781349.21299999999,3717941.4070000001,-624.15999999999997,0
781357.51500000001,3717943.71,-625.36000000000001,0
781365.91799999995,3717945.906,-624.65999999999997,0
781374.31499999994,3717948.0070000002,-622.75999999999999,0
781382.30000000005,3717951.9449999998,-622.75999999999999,0
781390.60800000001,3717954.1460000002,-623.65999999999997,0
781398.90099999995,3717956.25,-620.86000000000001,0
781407.19999999995,3717958.449,-620.36000000000001,0
781415.49899999995,3717960.648,-619.46000000000004,0
781423.80700000003,3717962.8489999999,-618.75999999999999,0
781432.09900000005,3717965.1499999999,-619.55999999999995,0
781440.39800000004,3717967.3489999999,-618.36000000000001,0
781448.5,3717969.5460000001,-617.05999999999995,0
781262.43700000003,3717924.8080000002,-631.70000000000005,0
781270.94099999999,3717927.014,-631.70000000000005,0
781279.43799999997,3717929.2069999999,-632.10000000000002,0
781288.03700000001,3717931.4070000001,-631.10000000000002,0
781296.83900000004,3717933.5070000002,-628.79999999999995,0
781305.23899999994,3717935.7149999999,-629.29999999999995,0
781313.73600000003,3717937.909,-628.29999999999995,0
781322.33900000004,3717940.017,-626.39999999999998,0
781330.83600000001,3717942.21,-625.70000000000005,0
781339.33999999997,3717944.415,-625,0
781347.73600000003,3717946.716,-625.5,0
781356.23699999996,3717948.8169999998,-623.70000000000005,0
781364.53500000003,3717951.0189999999,-623.5,0
781372.93700000003,3717953.2179999999,-622.89999999999998,0
781380.723,3717957.3539999998,-623.20000000000005,0
781389.12300000002,3717959.5619999999,-621.79999999999995,0
781397.42299999995,3717961.7540000002,-621.10000000000002,0
781405.73100000003,3717963.9589999998,-620.79999999999995,0
781414.02800000005,3717966.1600000001,-620.20000000000005,0
781422.326,3717968.3620000002,-619.29999999999995,0
781430.522,3717970.557,-618.5,0
781438.82999999996,3717972.7609999999,-617.79999999999995,0
781447.12100000004,3717975.0639999998,-618,0
781220.23999999999,3717922.9610000001,-635.63999999999999,0
781229.33200000005,3717925.2599999998,-634.03999999999996,0
781237.93000000005,3717927.4649999999,-633.24000000000001,0
781246.53399999999,3717929.764,-633.03999999999996,0
781255.33400000003,3717932.0660000001,-631.84000000000003,0
