x,y,z,flag
268390.853,3696956.6150000002,-485.48000000000002,0
268395.85499999998,3696958.71,-487.77999999999997,0
268400.94799999997,3696960.7110000001,-489.18000000000001,0
268406.049,3696962.7149999999,-488.98000000000002,0
268411.15500000003,3696964.71,-489.57999999999998,0
268416.24699999997,3696966.7110000001,-489.98000000000002,0
268421.35800000001,3696968.611,-490.07999999999998,0
268384.625,3696957.2820000001,-486.97000000000003,0
268388.81699999998,3696961.7110000001,-486.56999999999999,0
268393.913,3696963.5090000001,-483.76999999999998,0
268399.02000000002,3696965.4169999999,-483.56999999999999,0
268404.114,3696967.7179999999,-488.47000000000003,0
268409.21100000001,3696969.5150000001,-487.17000000000002,0
268414.11900000001,3696971.4109999998,-486.06999999999999,0
268419.22100000002,3696973.415,-486.17000000000002,0
268371.58000000002,3696956.1150000002,-481.00999999999999,0
268376.48200000002,3696958.216,-485.70999999999998,0
268381.685,3696960.3190000001,-488.61000000000001,0
268386.66800000001,3696962.5389999999,-486.41000000000003,0
268391.87599999999,3696964.4389999998,-483.61000000000001,0
268396.96999999997,3696966.7349999999,-489.50999999999999,0
268402.07000000001,3696968.6349999998,-487.41000000000003,0
268407.174,3696970.6340000001,-486.61000000000001,0
268412.57799999998,3696972.9350000001,-491.70999999999998,0
268417.67300000001,3696975.0380000002,-491.00999999999999,0
268422.875,3696977.0329999998,-491.11000000000001,0
268359.03700000001,3696957.0180000002,-487.43000000000001,0
268364.23499999999,3696959.023,-487.73000000000002,0
268369.34299999999,3696961.1209999998,-488.43000000000001,0
268374.636,3696962.9160000002,-483.63,0
268379.83399999997,3696964.9210000001,-482.32999999999998,0
268384.82699999999,3696967.0380000002,-485.24000000000001,0
268389.92700000003,3696968.9399999999,-483.13999999999999,0
268395.12900000002,3696971.0430000001,-483.33999999999997,0
268400.125,3696973.0430000001,-483.44,0
268405.527,3696975.5380000002,-490.44,0
268410.52799999999,3696977.335,-487.83999999999997,0
268415.52899999998,3696979.2409999999,-485.74000000000001,0
