x,y,z,flag
231968.70199999999,3751373.1680000001,-235.43000000000001,0
231969.43900000001,3751369.8960000002,-234.84,0
231970.196,3751366.4750000001,-234.06999999999999,0
231969.13200000001,3751389.21,-237.63,0
231969.802,3751386.2930000001,-237.63999999999999,0
231970.53200000001,3751383.1030000001,-237.25999999999999,0
231971.32999999999,3751379.5269999998,-236.30000000000001,0
231972.04999999999,3751376.4169999999,-235.99000000000001,0
231972.71400000001,3751373.5610000002,-236.13,0
231973.389,3751370.625,-236.15000000000001,0
231974.04000000001,3751367.858,-236.43000000000001,0
231968.69,3751409.0150000001,-239,0
231969.386,3751405.7949999999,-238.69,0
231970.024,3751402.9219999998,-238.78999999999999,0
231970.69399999999,3751399.8810000001,-238.69999999999999,0
231971.24100000001,3751397.5219999999,-239.50999999999999,0
231972.04000000001,3751393.781,-238.40000000000001,0
231972.78700000001,3751390.2850000001,-237.56,0
231973.476,3751387.094,-237.21000000000001,0
231974.15900000001,3751384.0060000001,-237,0
231974.80100000001,3751381.2370000002,-237.34,0
231975.46599999999,3751378.2570000002,-237.30000000000001,0
231976.17999999999,3751374.9700000002,-236.77000000000001,0
231976.89300000001,3751371.764,-236.38999999999999,0
231977.59400000001,3751368.5249999999,-235.87,0
231978.21900000001,3751365.7829999998,-236.22999999999999,0
231969.095,3751422.9619999998,-240.66999999999999,0
231969.76500000001,3751420.0249999999,-240.71000000000001,0
231970.389,3751417.3859999999,-241.25,0
231971.22500000001,3751413.6030000001,-240.27000000000001,0
231972.11199999999,3751409.6170000001,-238.99000000000001,0
231972.73999999999,3751406.8859999999,-239.34,0
231973.495,3751403.537,-238.87,0
231974.23199999999,3751400.2549999999,-238.5,0
231974.875,3751397.5070000002,-238.83000000000001,0
231975.549,3751394.6329999999,-239.03,0
231976.25899999999,3751391.5830000001,-238.91,0
231976.97700000001,3751388.3790000002,-238.59,0
231977.74900000001,3751384.9619999998,-237.97999999999999,0
231978.486,3751381.7629999998,-237.71000000000001,0
231979.20300000001,3751378.642,-237.47999999999999,0
231980.111,3751374.4959999998,-235.62,0
231980.77600000001,3751371.6600000001,-235.80000000000001,0
231981.315,3751369.5159999998,-237.28,0
231982.01500000001,3751366.5040000002,-237.28,0
231968.71299999999,3751444.389,-243.09999999999999,0
231969.43900000001,3751441.0329999998,-242.71000000000001,0
231970.163,3751437.6439999999,-242.31,0
231970.85800000001,3751434.4449999998,-242.16999999999999,0
231971.51999999999,3751431.3820000002,-242.13,0
231972.223,3751428.1540000001,-241.83000000000001,0
231972.921,3751424.946,-241.69999999999999,0
231973.584,3751421.9550000001,-241.66999999999999,0
231974.34299999999,3751418.3489999999,-241,0
231975.08499999999,3751414.8930000002,-240.34999999999999,0
231975.73499999999,3751411.9920000001,-240.53999999999999,0
231976.41800000001,3751408.8829999999,-240.44,0
231977.152,3751405.4559999998,-239.91999999999999,0
231977.89000000001,3751402.0099999998,-239.40000000000001,0
231978.52299999999,3751399.2590000001,-239.74000000000001,0
231979.174,3751396.3590000002,-239.93000000000001,0
231979.935,3751392.8250000002,-239.13999999999999,0
231980.63500000001,3751389.6069999998,-238.84,0
231981.351,3751386.3300000001,-238.44999999999999,0
231982.01199999999,3751383.3909999998,-238.59,0
231982.649,3751380.6209999998,-238.99000000000001,0
231983.29699999999,3751377.8119999999,-239.33000000000001,0
231983.87899999999,3751375.4210000001,-240.31999999999999,0
231984.77600000001,3751371.034,-238.13999999999999,0
231985.49400000001,3751367.7889999999,-237.75,0
231968.989,3751454.8149999999,-244.5,0
231969.64600000001,3751451.9989999998,-244.69,0
231970.45000000001,3751448.4559999998,-244.09999999999999,0
231971.166,3751445.375,-243.97999999999999,0
231971.92499999999,3751442.0060000001,-243.56999999999999,0
231972.766,3751438.3590000002,-242.84,0
231973.47,3751435.2439999999,-242.71000000000001,0
231974.22099999999,3751431.9870000002,-242.34,0
231975.10399999999,3751428.0610000002,-241.18000000000001,0
231975.63099999999,3751425.986,-242.31999999999999,0
231976.34700000001,3751422.8640000001,-242.21000000000001,0
231977.204,3751419.0759999999,-241.11000000000001,0
231977.91899999999,3751415.9950000001,-241.02000000000001,0
231978.58199999999,3751413.159,-241.22,0
231979.228,3751410.5049999999,-241.66999999999999,0
231979.94899999999,3751407.4049999998,-241.5,0
231980.666,3751404.3149999999,-241.37,0
231981.41200000001,3751401.1179999998,-241.11000000000001,0
231982.16800000001,3751397.841,-240.66999999999999,0
231982.89600000001,3751394.7540000002,-240.53999999999999,0
231983.677,3751391.3390000002,-239.84999999999999,0
231984.46299999999,3751387.9049999998,-239.24000000000001,0
231985.17600000001,3751384.875,-239.16,0
231985.891,3751381.8360000001,-239.02000000000001,0
231986.63399999999,3751378.6899999999,-238.71000000000001,0
231987.35699999999,3751375.5800000001,-238.52000000000001,0
231988.054,3751372.6499999999,-238.53999999999999,0
231988.78099999999,3751369.5619999999,-238.43000000000001,0
231989.51699999999,3751366.4040000001,-238.02000000000001,0
231971.63200000001,3751463.5079999999,-245.93000000000001,0
231972.359,3751460.182,-245.61000000000001,0
231973.02799999999,3751457.162,-245.63,0
231973.96100000001,3751452.7220000001,-244.06,0
231974.61499999999,3751449.7599999998,-244.13,0
231975.171,3751447.372,-244.81,0
231975.91800000001,3751443.969,-244.38,0
231976.53099999999,3751441.2850000001,-244.81,0
231977.30600000001,3751437.7349999999,-244.19,0
231978.00099999999,3751434.5759999999,-243.97999999999999,0
231978.69200000001,3751431.469,-243.87,0
231979.42600000001,3751428.1970000002,-243.56999999999999,0
231980.21400000001,3751424.5559999999,-242.84999999999999,0
231980.94399999999,3751421.2209999999,-242.37,0
231981.742,3751417.5,-241.49000000000001,0
231982.625,3751413.2540000002,-239.81999999999999,0
231983.247,3751410.6140000001,-240.30000000000001,0
231983.66,3751409.1809999999,-242.38999999999999,0
231984.49600000001,3751405.2740000002,-241.13999999999999,0
231985.12599999999,3751402.5639999998,-241.58000000000001,0
231985.861,3751399.21,-241.09,0
231986.66099999999,3751395.5619999999,-240.13999999999999,0
231987.32199999999,3751392.6529999999,-240.22,0
231988.022,3751389.5899999999,-240.18000000000001,0
231988.731,3751386.4139999999,-239.91999999999999,0
231989.46799999999,3751383.1329999999,-239.41999999999999,0
231990.179,3751379.9479999999,-239.09,0
231990.87,3751376.9640000002,-239.11000000000001,0
231991.54999999999,3751374.0189999999,-239.15000000000001,0
231992.269,3751370.8050000002,-238.83000000000001,0
231992.946,3751367.9109999998,-238.91999999999999,0
231969.64600000001,3751486.176,-246.46000000000001,0
231970.17300000001,3751483.915,-247.22999999999999,0
231970.82399999999,3751481.0869999998,-247.40000000000001,0
231971.57800000001,3751477.7379999999,-247.12,0
231972.34400000001,3751474.3399999999,-246.72,0
231973.073,3751471.1290000002,-246.47999999999999,0
231973.837,3751467.7400000002,-246.09,0
231974.019,3751467.2710000002,-248.81,0
231975.003,3751462.7409999999,-247.22999999999999,0
231976.03099999999,3751458.037,-245.36000000000001,0
231976.72200000001,3751455.0120000001,-245.41,0
231977.389,3751452.1260000002,-245.58000000000001,0
231978.117,3751448.915,-245.34999999999999,0
231978.959,3751445.1439999999,-244.5,0
231979.76999999999,3751441.571,-243.97999999999999,0
231980.783,3751436.8840000001,-241.88,0
231981.242,3751435.091,-243.36000000000001,0
231981.856,3751432.449,-243.78,0
231982.60200000001,3751429.1699999999,-243.44999999999999,0
231983.413,3751425.557,-242.66,0
