x,y,z,flag
271226.61900000001,3696359.2560000001,-594.80999999999995,0
271232.41600000003,3696347.9550000001,-596.30999999999995,0
271234.32000000001,3696344.4569999999,-594.30999999999995,0
271237.516,3696338.3489999999,-593.71000000000004,0
271241.31400000001,3696331.0529999998,-593.71000000000004,0
271242.31900000002,3696329.352,-590.90999999999997,0
271243.41700000002,3696327.6549999998,-588.00999999999999,0
271245.41399999999,3696323.9530000002,-585.90999999999997,0
271227.94400000002,3696378.3360000001,-599.64999999999998,0
271230.34399999998,3696374.0359999998,-597.95000000000005,0
271234.93900000001,3696365.1349999998,-598.75,0
271238.64199999999,3696358.1340000001,-598.64999999999998,0
271241.04599999997,3696353.7390000001,-597.04999999999995,0
271247.94,3696340.3330000001,-599.64999999999998,0
271247.24800000002,3696342.0320000001,-595.45000000000005,0
271251.73999999999,3696333.4369999999,-596.04999999999995,0
271257.34999999998,3696322.6349999998,-597.35000000000002,0
271258.15100000001,3696321.534,-594.25,0
271260.94199999998,3696316.3369999998,-593.45000000000005,0
271261.44099999999,3696315.6359999999,-590.14999999999998,0
271263.54800000001,3696311.7409999999,-588.54999999999995,0
271268.24699999997,3696302.9360000002,-589.14999999999998,0
271229.79399999999,3696618.4049999998,-621.14999999999998,0
271232.397,3696614.4100000001,-619.75,0
271236.196,3696608.611,-619.85000000000002,0
271238.99300000002,3696604.3080000002,-618.95000000000005,0
271241.89799999999,3696600.1099999999,-618.04999999999995,0
271244.397,3696596.3160000001,-616.45000000000005,0
271247.29800000001,3696591.9049999998,-615.45000000000005,0
271251.89600000001,3696584.7119999998,-616.54999999999995,0
271252.99900000001,3696583.3130000001,-613.64999999999998,0
271258.99900000001,3696573.8080000002,-615.85000000000002,0
271263.39600000001,3696567.0079999999,-616.54999999999995,0
271266.5,3696562.3100000001,-615.85000000000002,0
271268.804,3696558.8089999999,-614.25,0
271273.90100000001,3696550.807,-615.75,0
271273.29499999998,3696552.2059999998,-611.14999999999998,0
271280.79700000002,3696540.304,-614.64999999999998,0
271283.09399999998,3696536.8100000001,-613.35000000000002,0
271283.696,3696536.1140000001,-610.35000000000002,0
271291.60200000001,3696523.6099999999,-614.04999999999995,0
271293.09899999999,3696521.4040000001,-611.95000000000005,0
271296.20299999998,3696516.7069999999,-611.14999999999998,0
271302.20299999998,3696507.1099999999,-613.45000000000005,0
271303.49900000001,3696505.3110000002,-611.35000000000002,0
271305.29499999998,3696502.6120000002,-609.14999999999998,0
271309.40000000002,3696496.3119999999,-609.14999999999998,0
271312.70500000002,3696491.2069999999,-608.85000000000002,0
271316.09999999998,3696486.0099999998,-608.75,0
271319.50199999998,3696480.713,-608.04999999999995,0
271322.60399999999,3696475.909,-607.45000000000005,0
271325.603,3696471.3059999999,-606.64999999999998,0
271332.70199999999,3696460.0049999999,-609.54999999999995,0
271332.60200000001,3696460.5109999999,-605.95000000000005,0
271335.29499999998,3696456.409,-605.14999999999998,0
271336.696,3696454.4100000001,-602.85000000000002,0
271338.50599999999,3696451.71,-600.95000000000005,0
271340.79499999998,3696448.2089999998,-599.75,0
271345.39899999998,3696441.0079999999,-600.75,0
271351.99599999998,3696430.4100000001,-602.85000000000002,0
271360.10600000003,3696417.7110000001,-606.35000000000002,0
271365,3696409.9029999999,-607.25,0
271227.41499999998,3696637.0469999998,-622.13,0
271230.61700000003,3696632.3390000002,-621.33000000000004,0
271235.32199999999,3696625.1430000002,-622.52999999999997,0
271237.511,3696621.8459999999,-620.63,0
271240.516,3696617.3390000002,-619.92999999999995,0
271243.01299999998,3696613.6469999999,-618.63,0
271245.21899999998,3696610.5469999998,-617.13,0
271251.31599999999,3696601.0430000001,-619.23000000000002,0
271252.32299999997,3696599.7459999998,-616.33000000000004,0
271256.21999999997,3696593.844,-616.63,0
271259.92099999997,3696588.1439999999,-616.52999999999997,0
271262.01400000002,3696585.1460000002,-614.73000000000002,0
271264.61599999998,3696581.3459999999,-613.63,0
271269.924,3696572.943,-615.23000000000002,0
271274.81699999998,3696565.4470000002,-616.52999999999997,0
271276.81900000002,3696562.5419999999,-614.42999999999995,0
271280.62599999999,3696556.747,-614.42999999999995,0
271282.223,3696554.443,-612.13,0
271285.223,3696550.0499999998,-611.42999999999995,0
271289.91899999999,3696542.6490000002,-612.83000000000004,0
271292.625,3696538.6490000002,-611.23000000000002,0
271298.02500000002,3696530.2450000001,-612.83000000000004,0
271302.12400000001,3696523.9509999999,-613.23000000000002,0
271307.02399999998,3696516.4479999999,-614.02999999999997,0
271310.022,3696511.9479999999,-613.42999999999995,0
271312.82400000002,3696507.6490000002,-612.42999999999995,0
271314.527,3696505.2510000002,-610.33000000000004,0
271322.03100000002,3696493.4509999999,-613.92999999999995,0
271321.72700000001,3696494.2429999998,-610.23000000000002,0
271323.63,3696491.3459999999,-608.33000000000004,0
271327.22700000001,3696485.8459999999,-608.23000000000002,0
271329.43199999997,3696482.6540000001,-606.73000000000002,0
271332.23300000001,3696478.2480000001,-606.02999999999997,0
271335.533,3696473.4539999999,-605.23000000000002,0
271338.22899999999,3696469.2489999998,-604.52999999999997,0
271342.03399999999,3696463.3480000002,-604.42999999999995,0
271349.23300000001,3696452.2480000001,-607.23000000000002,0
271354.73100000003,3696443.6519999998,-608.73000000000002,0
271355.63199999998,3696442.449,-606.33000000000004,0
271360.33500000002,3696435.054,-606.92999999999995,0
271360.734,3696434.5529999998,-604.02999999999997,0
271368.73999999999,3696422.051,-607.42999999999995,0
271370.533,3696419.4539999999,-605.73000000000002,0
271373.739,3696414.554,-605.13,0
271380.038,3696404.656,-607.02999999999997,0
271379.43599999999,3696405.9550000001,-603.52999999999997,0
271385.23800000001,3696396.7519999999,-605.33000000000004,0
271228.30800000002,3696726.4909999999,-631.55999999999995,0
271233.91399999999,3696718.7919999999,-632.86000000000001,0
271238.61200000002,3696712.4909999999,-633.05999999999995,0
271241.016,3696709.4939999999,-630.86000000000001,0
271243.913,3696705.7940000002,-629.55999999999995,0
271248.01500000001,3696700.29,-628.65999999999997,0
271252.11499999999,3696694.6880000001,-628.36000000000001,0
271258.01199999999,3696686.591,-630.05999999999995,0
271261.60700000002,3696681.7919999999,-628.86000000000001,0
271265.41200000001,3696676.6949999998,-628.36000000000001,0
271269.217,3696671.7889999999,-627.36000000000001,0
271274.10700000002,3696665.0920000002,-627.96000000000004,0
271276.91100000002,3696661.3879999998,-626.05999999999995,0
271282.71299999999,3696653.392,-627.05999999999995,0
271288.41200000001,3696645.4929999998,-628.25999999999999,0
271290.61300000001,3696642.7859999998,-626.36000000000001,0
271294.51400000002,3696637.5869999998,-625.25999999999999,0
271295.80699999997,3696636.29,-622.05999999999995,0
271300.21100000001,3696630.2889999999,-621.96000000000004,0
271304.51299999998,3696624.3969999999,-621.65999999999997,0
271307.913,3696619.8939999999,-620.75999999999999,0
271313.21100000001,3696612.6869999999,-621.25999999999999,0
271316.913,3696607.6860000002,-620.25999999999999,0
271319.51199999999,3696604.392,-618.46000000000004,0
271326.11200000002,3696595.0890000002,-619.96000000000004,0
271332.913,3696585.6869999999,-621.86000000000001,0
271336.016,3696581.591,-620.15999999999997,0
271339.516,3696576.8939999999,-619.36000000000001,0
271339.80900000001,3696576.9900000002,-615.36000000000001,0
271345.91899999999,3696568.4890000001,-616.36000000000001,0
271349.71299999999,3696563.287,-615.86000000000001,0
271358.21399999998,3696551.3930000002,-618.46000000000004,0
271361.217,3696547.4909999999,-616.96000000000004,0
271365.91200000001,3696541.0899999999,-616.65999999999997,0
271368.32000000001,3696537.9870000002,-614.86000000000001,0
271372.81599999999,3696531.784,-614.46000000000004,0
271378.011,3696524.6869999999,-614.65999999999997,0
271384.01500000001,3696516.3879999998,-615.65999999999997,0
271387.717,3696511.3870000001,-614.25999999999999,0
271400.11499999999,3696493.784,-619.86000000000001,0
271406.81699999998,3696484.3859999999,-620.75999999999999,0
271413.21500000003,3696475.5920000002,-621.65999999999997,0
271415.01199999999,3696473.2880000002,-618.96000000000004,0
271418.41700000002,3696468.693,-618.05999999999995,0
271227.57199999999,3696739.341,-631.47000000000003,0
271229.27299999999,3696737.4389999998,-628.57000000000005,0
271235.07400000002,3696729.4410000001,-630.16999999999996,0
271240.77500000002,3696721.6359999999,-631.66999999999996,0
271244.47100000002,3696716.8330000001,-630.47000000000003,0
271247.772,3696712.5380000002,-629.26999999999998,0
271252.97499999998,3696705.5419999999,-629.87,0
271259.36599999998,3696696.7390000001,-631.87,0
271262.56800000003,3696692.6379999998,-630.66999999999996,0
271264.77000000002,3696690.0410000002,-628.16999999999996,0
271267.87300000002,3696685.943,-627.26999999999998,0
271275.27299999999,3696675.7420000001,-629.66999999999996,0
271280.46899999998,3696668.7390000001,-630.47000000000003,0
271285.27399999998,3696662.344,-630.47000000000003,0
271287.17800000001,3696660.1379999998,-627.76999999999998,0
271290.37599999999,3696655.9380000001,-626.26999999999998,0
271294.37400000001,3696650.6370000001,-626.07000000000005,0
271293.57299999997,3696652.3399999999,-620.87,0
271300.78100000002,3696642.3429999999,-623.57000000000005,0
271305.97399999999,3696635.2420000001,-623.97000000000003,0
271310.67599999998,3696628.9410000001,-624.07000000000005,0
271317.18400000001,3696620.0419999999,-625.57000000000005,0
271319.17700000003,3696617.537,-623.26999999999998,0
271322.67800000001,3696613.0440000002,-621.97000000000003,0
271324.78100000002,3696610.4360000002,-619.66999999999996,0
271327.37800000003,3696607.1400000001,-618.16999999999996,0
271329.88299999997,3696604.0449999999,-615.87,0
271332.58000000002,3696600.5410000002,-614.37,0
271334.67599999998,3696597.9399999999,-612.26999999999998,0
271343.67999999999,3696585.4440000001,-615.87,0
271352.386,3696573.3399999999,-619.26999999999998,0
271356.88500000001,3696567.3429999999,-618.57000000000005,0
271361.27799999999,3696561.3429999999,-618.16999999999996,0
271364.88500000001,3696556.6490000002,-617.26999999999998,0
271366.08199999999,3696555.344,-614.16999999999996,0
271371.38500000001,3696548.1400000001,-614.66999999999996,0
271379.28600000002,3696537.2429999998,-616.76999999999998,0
271381.18800000002,3696534.7480000001,-614.47000000000003,0
271387.48599999998,3696526.1460000002,-615.76999999999998,0
271393.09100000001,3696518.443,-616.37,0
271397.88900000002,3696512.0410000002,-615.76999999999998,0
271402.087,3696506.3509999998,-614.97000000000003,0
271409.08899999998,3696496.75,-616.37,0
271412.18800000002,3696492.7439999999,-614.97000000000003,0
271418.58600000001,3696483.9479999999,-615.57000000000005,0
271422.79100000003,3696478.2510000002,-615.16999999999996,0
271425.29200000002,3696475.0430000001,-612.76999999999998,0
271430.79100000003,3696467.5419999999,-613.07000000000005,0
271434.39399999997,3696462.7489999998,-612.16999999999996,0
271256.04100000003,3696868.2030000002,-651.66999999999996,0
271261.234,3696862.6039999998,-651.97000000000003,0
271264.33100000001,3696859.503,-650.07000000000005,0
271268.73700000002,3696854.7069999999,-649.47000000000003,0
271273.44099999999,3696849.7050000001,-649.37,0
271280.33399999997,3696842.0070000002,-651.37,0
271285.038,3696836.9130000002,-651.16999999999996,0
271288.33299999998,3696833.5060000001,-649.57000000000005,0
271293.44099999999,3696828.0079999999,-649.57000000000005,0
271298.03899999999,3696823.0060000001,-649.37,0
271303.147,3696817.5070000002,-649.57000000000005,0
271309.04100000003,3696811.0079999999,-650.47000000000003,0
271313.14299999998,3696806.6090000002,-649.37,0
271317.34399999998,3696802.111,-648.87,0
271320.14299999998,3696799.2009999999,-646.76999999999998,0
271323.44400000002,3696795.909,-645.07000000000005,0
271326.24200000003,3696793.014,-642.87,0
271330.239,3696788.9049999998,-641.66999999999996,0
271332.94500000001,3696786.0109999999,-639.97000000000003,0
271341.049,3696777.0079999999,-642.47000000000003,0
271347.44699999999,3696769.8059999999,-644.37,0
271350.44400000002,3696766.804,-642.37,0
271354.64399999997,3696762.2140000002,-641.66999999999996,0
271356.64299999998,3696760.3050000002,-638.87,0
271360.04300000001,3696756.807,-637.26999999999998,0
271366.04399999999,3696750.1090000002,-638.07000000000005,0
271371.64799999999,3696744.0070000002,-638.66999999999996,0
271376.64899999998,3696738.5090000001,-638.76999999999998,0
