x,y,z,flag
222371.54199999999,3748999.9589999998,-89.390000000000001,0
222371.69099999999,3748999.3160000001,-89.579999999999998,0
222371.80600000001,3748998.8080000002,-89.810000000000002,0
222372.111,3748997.4920000001,-89.75,0
222372.33199999999,3748996.5159999998,-89.780000000000001,0
222371.829,3749003.4380000001,-88.719999999999999,0
222371.65599999999,3749004.1779999998,-89.409999999999997,0
222371.93100000001,3749003.0299999998,-89.439999999999998,0
222372.158,3749002.0350000001,-89.439999999999998,0
222372.68700000001,3748999.784,-88.969999999999999,0
222372.67000000001,3748999.852,-89.439999999999998,0
222372.88500000001,3748998.9470000002,-89.510000000000005,0
222373.12899999999,3748997.9249999998,-89.560000000000002,0
222373.402,3748996.7459999998,-89.519999999999996,0
222373.23800000001,3748997.4879999999,-90.25,0
222373.753,3748995.2549999999,-90.239999999999995,0
222371.53200000001,3749012.8590000002,-89.180000000000007,0
222371.73800000001,3749011.9509999999,-89.25,0
222372.09299999999,3749010.3590000002,-89.049999999999997,0
222372.59,3749008.193,-88.629999999999995,0
222372.70600000001,3749007.727,-88.849999999999994,0
222372.82000000001,3749007.1889999998,-89.040000000000006,0
222373.06200000001,3749006.1349999998,-89.079999999999998,0
222373.704,3749003.3459999999,-88.400000000000006,0
222373.554,3749003.9890000001,-89.090000000000003,0
222373.77900000001,3749003.0040000002,-89.140000000000001,0
222373.95800000001,3749002.2439999999,-89.230000000000004,0
222374.076,3749001.727,-89.469999999999999,0
222374.39000000001,3749000.2999999998,-89.340000000000003,0
222374.81099999999,3748998.4870000002,-89.049999999999997,0
222375.19500000001,3748996.8190000001,-88.859999999999999,0
222375.19500000001,3748996.8190000001,-89.280000000000001,0
222375.364,3748996.0980000002,-89.420000000000002,0
222375.516,3748995.446,-89.629999999999995,0
222371.64000000001,3749016.7170000002,-89.959999999999994,0
222371.973,3749015.3050000002,-89.840000000000003,0
222372.141,3749014.594,-89.980000000000004,0
222372.47200000001,3749013.1919999998,-89.859999999999999,0
222372.55499999999,3749012.821,-90.129999999999995,0
222372.44500000001,3749013.2990000001,-90.719999999999999,0
222372.72700000001,3749012.0899999999,-90.670000000000002,0
222372.81,3749011.719,-90.930000000000007,0
222373.65400000001,3749008.1860000002,-89.969999999999999,0
222373.875,3749007.2209999999,-89.989999999999995,0
222373.98199999999,3749006.7519999999,-90.260000000000005,0
222374.277,3749005.537,-90.180000000000007,0
222374.552,3749004.3569999998,-90.159999999999997,0
222374.834,3749003.1490000002,-90.069999999999993,0
222375.427,3749000.6159999999,-89.5,0
222375.48300000001,3749000.3930000002,-89.849999999999994,0
222375.58300000001,3748999.9539999999,-90.109999999999999,0
222375.84099999999,3748998.8840000001,-90.109999999999999,0
222376.152,3748997.5589999999,-90.010000000000005,0
222376.571,3748995.7659999998,-89.709999999999994,0
222376.64600000001,3748995.4649999999,-90.060000000000002,0
222371.70000000001,3749025.0649999999,-89.370000000000005,0
222372.147,3749023.0729999999,-89.019999999999996,0
222371.899,3749024.1869999999,-89.799999999999997,0
222372.478,3749021.6299999999,-89.239999999999995,0
222373.09599999999,3749018.9169999999,-88.599999999999994,0
222373.09599999999,3749018.9580000001,-89.030000000000001,0
222373.179,3749018.5460000001,-89.25,0
222373.27900000001,3749018.1069999998,-89.450000000000003,0
222373.755,3749016.0389999999,-89.079999999999998,0
222373.93100000001,3749015.2579999999,-89.150000000000006,0
222374.06400000001,3749014.6830000002,-89.349999999999994,0
222374.30499999999,3749013.6400000001,-89.359999999999999,0
222374.85999999999,3749011.179,-88.840000000000003,0
222374.99400000001,3749010.6039999998,-89.030000000000001,0
222375.179,3749009.784,-89.109999999999999,0
222375.22200000001,3749009.6090000002,-89.450000000000003,0
222375.28599999999,3749009.3569999998,-89.760000000000005,0
222375.40700000001,3749008.8309999998,-89.959999999999994,0
222375.753,3749007.287,-89.760000000000005,0
222376.334,3749004.7200000002,-89.200000000000003,0
222376.06400000001,3749005.9210000001,-90.069999999999993,0
222376.45300000001,3749004.2030000002,-89.840000000000003,0
222376.69200000001,3749003.2110000001,-89.840000000000003,0
222376.81599999999,3749002.6340000001,-90.049999999999997,0
222376.95199999999,3749002.0490000001,-90.260000000000005,0
222377.057,3749001.5490000001,-90.489999999999995,0
222377.31400000001,3749000.4380000001,-90.489999999999995,0
222377.65299999999,3748998.9649999999,-90.319999999999993,0
222377.84,3748998.176,-90.439999999999998,0
222378.17600000001,3748996.6719999998,-90.299999999999997,0
222378.484,3748995.3569999998,-90.180000000000007,0
222371.66500000001,3749028.702,-89.620000000000005,0
222371.726,3749028.4589999998,-89.859999999999999,0
222372.12599999999,3749026.713,-89.620000000000005,0
222372.47700000001,3749025.2439999999,-89.459999999999994,0
222372.85800000001,3749023.6159999999,-89.25,0
222372.88500000001,3749023.5099999998,-89.590000000000003,0
222373.19099999999,3749022.2149999999,-89.480000000000004,0
222373.837,3749019.4569999999,-88.849999999999994,0
222373.77799999999,3749019.7310000001,-89.359999999999999,0
222373.886,3749019.2220000001,-89.549999999999997,0
222374.30600000001,3749017.4810000001,-89.260000000000005,0
222374.59,3749016.273,-89.230000000000004,0
222374.86300000001,3749015.0720000002,-89.140000000000001,0
222375.53,3749012.2689999999,-88.5,0
222375.42499999999,3749012.6860000002,-89.060000000000002,0
222375.329,3749013.1060000001,-89.579999999999998,0
222375.69699999999,3749011.5269999998,-89.390000000000001,0
222375.916,3749010.6630000002,-89.459999999999994,0
222376.114,3749009.7949999999,-89.530000000000001,0
222376.63500000001,3749007.574,-89.069999999999993,0
222376.65900000001,3749007.477,-89.439999999999998,0
222376.76699999999,3749007.0499999998,-89.709999999999994,0
222376.853,3749006.6690000002,-89.969999999999999,0
222377.60699999999,3749003.4440000001,-89.140000000000001,0
222377.72200000001,3749002.946,-89.340000000000003,0
222377.85200000001,3749002.3909999998,-89.560000000000002,0
222378.00899999999,3749001.7289999998,-89.680000000000007,0
222378.15400000001,3749001.1570000001,-89.890000000000001,0
222378.48999999999,3748999.7039999999,-89.75,0
222378.84400000001,3748998.1830000002,-89.569999999999993,0
222379.008,3748997.4920000001,-89.719999999999999,0
222379.33199999999,3748996.1290000002,-89.590000000000003,0
222372.08199999999,3749035.7200000002,-89.599999999999994,0
222372.27100000001,3749034.8900000001,-89.700000000000003,0
222372.78099999999,3749032.625,-89.25,0
222372.62700000001,3749033.3190000001,-89.870000000000005,0
222372.83799999999,3749032.4019999998,-89.890000000000001,0
222373.11799999999,3749031.1719999998,-89.840000000000003,0
222373.31899999999,3749030.2949999999,-89.909999999999997,0
222373.69200000001,3749028.6549999998,-89.659999999999997,0
222374.024,3749027.1809999999,-89.510000000000005,0
222374.23999999999,3749026.2439999999,-89.549999999999997,0
222374.807,3749023.7560000001,-89.030000000000001,0
222374.905,3749023.327,-89.25,0
222375.283,3749021.6680000001,-89.010000000000005,0
222374.95199999999,3749023.1430000002,-89.930000000000007,0
222375.799,3749019.4249999998,-88.980000000000004,0
222375.91899999999,3749018.9079999998,-89.159999999999997,0
222376.054,3749018.2919999999,-89.299999999999997,0
222376.003,3749018.537,-89.799999999999997,0
222376.40299999999,3749016.7910000002,-89.519999999999996,0
222376.40299999999,3749016.7910000002,-89.930000000000007,0
222376.59700000001,3749015.9010000001,-90.010000000000005,0
222377.46799999999,3749012.1269999999,-88.939999999999998,0
222377.51800000001,3749011.892,-89.260000000000005,0
222377.72099999999,3749010.963,-89.310000000000002,0
222377.984,3749009.8429999999,-89.290000000000006,0
222378.55900000001,3749007.284,-88.700000000000003,0
222378.47,3749007.716,-89.269999999999996,0
222378.772,3749006.3990000002,-89.200000000000003,0
222378.96100000001,3749005.5690000001,-89.269999999999996,0
222379.209,3749004.466,-89.280000000000001,0
222379.41800000001,3749003.5589999999,-89.319999999999993,0
222379.68299999999,3749002.3870000001,-89.290000000000006,0
222379.93100000001,3749001.284,-89.25,0
222380.04399999999,3749000.7960000001,-89.489999999999995,0
222380.12,3749000.4959999998,-89.810000000000002,0
222380.63099999999,3748998.2719999999,-89.340000000000003,0
222380.685,3748998.017,-89.670000000000002,0
222380.82999999999,3748997.4040000001,-89.849999999999994,0
222374.07399999999,3749030.469,-89.959999999999994,0
222374.67600000001,3749027.9070000001,-89.430000000000007,0
222374.899,3749026.952,-89.459999999999994,0
222375.11900000001,3749026.048,-89.510000000000005,0
222375.53599999999,3749024.2540000002,-89.239999999999995,0
222375.72399999999,3749023.4759999998,-89.329999999999998,0
222375.788,3749023.2239999999,-89.609999999999999,0
222375.72399999999,3749023.4759999998,-90.120000000000005,0
222376.514,3749020.0950000002,-89.25,0
222376.46900000001,3749020.2689999999,-89.680000000000007,0
222376.69,3749019.3650000002,-89.769999999999996,0
222376.55799999999,3749019.9199999999,-90.390000000000001,0
222377.435,3749016.199,-89.359999999999999,0
222377.36799999999,3749016.5019999999,-89.890000000000001,0
222377.82699999999,3749014.5019999999,-89.540000000000006,0
222377.802,3749014.6409999998,-90,0
222378.057,3749013.5589999999,-90,0
222378.20300000001,3749012.946,-90.170000000000002,0
222378.26199999999,3749012.6719999998,-90.480000000000004,0
222378.75,3749010.5970000001,-90.079999999999998,0
222379.01500000001,3749009.477,-90.099999999999994,0
222379.26500000001,3749008.4160000002,-90.079999999999998,0
222379.535,3749007.2349999999,-90.069999999999993,0
222379.79999999999,3749006.1150000002,-90.030000000000001,0
222380.22099999999,3749004.3429999999,-89.769999999999996,0
222380.43400000001,3749003.4679999999,-89.859999999999999,0
222380.55600000001,3749002.9109999998,-90.079999999999998,0
222380.83499999999,3749001.7740000002,-90.060000000000002,0
222381.12299999999,3749000.5260000001,-89.989999999999995,0
222381.31899999999,3748999.6770000001,-90.079999999999998,0
222381.57399999999,3748998.5959999999,-90.069999999999993,0
222381.97700000001,3748996.9330000002,-89.829999999999998,0
222382.08900000001,3748996.4139999999,-90.090000000000003,0
222373.24299999999,3749042.9580000001,-89,0
222373.41699999999,3749042.1970000002,-89.090000000000003,0
222373.541,3749041.6710000001,-89.25,0
222373.68700000001,3749040.9750000001,-89.310000000000002,0
222373.86300000001,3749040.2039999999,-89.400000000000006,0
222374.55300000001,3749037.2200000002,-88.730000000000004,0
222374.62700000001,3749036.8879999998,-88.950000000000003,0
222374.88,3749035.7749999999,-88.959999999999994,0
222375.361,3749033.6880000001,-88.590000000000003,0
222375.54500000001,3749032.8470000001,-88.689999999999998,0
222375.85800000001,3749031.4610000001,-88.549999999999997,0
222375.701,3749032.1949999998,-89.180000000000007,0
222375.90700000001,3749031.267,-89.239999999999995,0
222376.26199999999,3749029.7149999999,-89.030000000000001,0
222376.29399999999,3749029.5890000002,-89.359999999999999,0
222376.448,3749028.9470000002,-89.510000000000005,0
222376.82000000001,3749027.287,-89.290000000000006,0
222377.405,3749024.71,-88.75,0
222377.66800000001,3749023.6000000001,-88.719999999999999,0
222377.53200000001,3749024.1329999999,-89.290000000000006,0
222377.829,3749022.8459999999,-89.189999999999998,0
222378.114,3749021.648,-89.170000000000002,0
222377.98499999999,3749022.1940000001,-89.739999999999995,0
222378.489,3749019.9780000001,-89.299999999999997,0
222378.56299999999,3749019.6460000002,-89.590000000000003,0
222379.057,3749017.5109999999,-89.209999999999994,0
222379.22,3749016.7880000002,-89.299999999999997,0
222379.55799999999,3749015.264,-89.140000000000001,0
222379.769,3749014.3569999998,-89.209999999999994,0
222379.97700000001,3749013.46,-89.280000000000001,0
222380.163,3749012.6510000001,-89.370000000000005,0
222380.38099999999,3749011.7149999999,-89.430000000000007,0
222380.57699999999,3749010.8250000002,-89.489999999999995,0
222381.00399999999,3749008.9929999998,-89.189999999999998,0
222381.05300000001,3749008.7579999999,-89.540000000000006,0
222381.18700000001,3749008.1519999998,-89.700000000000003,0
222381.27900000001,3749007.7930000001,-90.010000000000005,0
222381.614,3749006.3190000001,-89.829999999999998,0
222381.46299999999,3749006.952,-90.530000000000001,0
222381.899,3749005.0389999999,-90.209999999999994,0
222382.231,3749003.6159999999,-90.079999999999998,0
222382.50700000001,3749002.375,-90.030000000000001,0
222382.70300000001,3749001.5269999998,-90.120000000000005,0
222383.01000000001,3749000.2009999999,-90.019999999999996,0
222383.34299999999,3748998.7370000002,-89.859999999999999,0
222383.38699999999,3748998.5210000002,-90.200000000000003,0
222383.77100000001,3748996.895,-90.010000000000005,0
222383.81899999999,3748996.628,-90.379999999999995,0
222384.03700000001,3748995.6919999998,-90.420000000000002,0
222376.916,3749030.4279999998,-89.450000000000003,0
222377.08100000001,3749029.7480000001,-89.590000000000003,0
222377.39499999999,3749028.4029999999,-89.489999999999995,0
222378.00200000001,3749025.8420000002,-88.939999999999998,0
222377.94200000001,3749026.1159999999,-89.459999999999994,0
222378.30900000001,3749024.5669999998,-89.269999999999996,0
222378.58600000001,3749023.3679999998,-89.209999999999994,0
222378.95000000001,3749021.8289999999,-89.069999999999993,0
222379.10200000001,3749021.1970000002,-89.25,0
222379.274,3749020.446,-89.340000000000003,0
222379.53400000001,3749019.355,-89.349999999999994,0
222379.58900000001,3749019.1009999998,-89.680000000000007,0
222379.818,3749018.1680000001,-89.739999999999995,0
222380.16,3749016.6749999998,-89.549999999999997,0
222380.37,3749015.8199999998,-89.629999999999995,0
222380.647,3749014.662,-89.599999999999994,0
222380.82699999999,3749013.8820000002,-89.769999999999996,0
222381.33600000001,3749011.7400000002,-89.359999999999999,0
222381.40100000001,3749011.446,-89.700000000000003,0
222381.46799999999,3749011.1439999999,-90,0
222381.872,3749009.4500000002,-89.790000000000006,0
222382.179,3749008.1340000001,-89.739999999999995,0
222382.36900000001,3749007.3149999999,-89.859999999999999,0
222382.641,3749006.176,-89.859999999999999,0
222382.89999999999,3749005.0860000001,-89.870000000000005,0
222383.215,3749003.7409999999,-89.769999999999996,0
222383.54199999999,3749002.3480000002,-89.650000000000006,0
222383.75399999999,3749001.4419999998,-89.719999999999999,0
222383.943,3749000.6639999999,-89.890000000000001,0
222384.285,3748999.213,-89.780000000000001,0
222384.29800000001,3748999.1639999999,-90.189999999999998,0
222384.90900000001,3748996.5839999998,-89.609999999999999,0
222385.09599999999,3748995.7740000002,-89.739999999999995,0
222380.40100000001,3749023.4720000001,-88.959999999999994,0
222380.38099999999,3749023.5499999998,-89.400000000000006,0
222380.84099999999,3749021.5189999999,-89.090000000000003,0
222381.28599999999,3749019.588,-88.760000000000005,0
222381.44899999999,3749018.875,-88.909999999999997,0
222381.58600000001,3749018.301,-89.109999999999999,0
222381.696,3749017.7919999999,-89.329999999999998,0
222381.96799999999,3749016.6540000001,-89.310000000000002,0
222382.00599999999,3749016.4670000002,-89.659999999999997,0
222382.35800000001,3749014.9360000002,-89.489999999999995,0
222382.63099999999,3749013.7560000001,-89.489999999999995,0
222382.788,3749013.0630000001,-89.629999999999995,0
222382.99100000001,3749012.1949999998,-89.75,0
222383.11600000001,3749011.628,-89.939999999999998,0
222383.361,3749010.5550000002,-89.969999999999999,0
222383.95800000001,3749007.9500000002,-89.409999999999997,0
222384.17000000001,3749007.0440000002,-89.489999999999995,0
222384.378,3749006.1570000001,-89.540000000000006,0
222384.51000000001,3749005.5610000002,-89.75,0
222384.85800000001,3749004.0079999999,-89.579999999999998,0
222385.003,3749003.446,-89.790000000000006,0
222385.34,3749001.9309999999,-89.629999999999995,0
222385.783,3749000.0099999998,-89.349999999999994,0
222385.84,3748999.787,-89.730000000000004,0
222386.53,3748996.7409999999,-88.939999999999998,0
222386.44699999999,3748997.1430000002,-89.569999999999993,0
222386.60699999999,3748996.4410000001,-89.760000000000005,0
222386.82500000001,3748995.4739999999,-89.829999999999998,0
222379.62400000001,3749031.9419999998,-90.379999999999995,0
222380.20300000001,3749029.4980000001,-89.900000000000006,0
222380.424,3749028.5630000001,-89.950000000000003,0
222380.61300000001,3749027.7540000002,-90.040000000000006,0
222380.954,3749026.3119999999,-89.930000000000007,0
222380.826,3749026.8480000002,-90.510000000000005,0
222381.492,3749024.0329999998,-89.849999999999994,0
222381.875,3749022.4270000001,-89.680000000000007,0
