x,y,z,flag
186198.65599999999,3744905.2080000001,-779.26999999999998,0
186199.35699999999,3744900.0619999999,-783.16999999999996,0
186200.22399999999,3744892.6850000001,-783.97000000000003,0
186201.08100000001,3744886.6299999999,-787.16999999999996,0
186202.41899999999,3744875.3280000002,-783.66999999999996,0
186203.53099999999,3744866.8429999999,-783.76999999999998,0
186204.46400000001,3744858.7680000002,-783.87,0
186205.56200000001,3744850.0899999999,-783.76999999999998,0
186206.71100000001,3744840.6000000001,-782.47000000000003,0
186198.86300000001,3744984.6979999999,-782.21000000000004,0
186199.92800000001,3744975.4190000002,-781.61000000000001,0
186200.859,3744967.253,-781.71000000000004,0
186201.821,3744959.6779999998,-782.30999999999995,0
186202.74400000001,3744951.5,-783.00999999999999,0
186203.704,3744943.9339999999,-783.50999999999999,0
186204.70600000001,3744935.253,-783.11000000000001,0
186205.704,3744926.682,-783.11000000000001,0
186206.70000000001,3744917.8990000002,-782.61000000000001,0
186207.685,3744909.1239999998,-782.50999999999999,0
186208.712,3744900.8500000001,-782.30999999999995,0
186209.63500000001,3744892.673,-782.61000000000001,0
186210.65900000001,3744884.4989999998,-783.21000000000004,0
186211.598,3744876.4249999998,-783.21000000000004,0
186212.65900000001,3744867.247,-782.40999999999997,0
186213.74900000001,3744858.3650000002,-781.90999999999997,0
186214.666,3744850.0860000001,-782.50999999999999,0
186215.68700000001,3744841.71,-782.21000000000004,0
186198.386,3745078.557,-775.92999999999995,0
186199.26300000001,3745071.2889999999,-777.23000000000002,0
186200.28700000001,3745063.0120000001,-777.23000000000002,0
186201.08900000001,3745056.1570000001,-779.02999999999997,0
186202.13200000001,3745048.2769999998,-779.52999999999997,0
186203.147,3745039.8050000002,-779.52999999999997,0
186204.16800000001,3745031.6179999998,-779.52999999999997,0
186205.03,3745024.054,-780.42999999999995,0
186206.12400000001,3745015.27,-779.92999999999995,0
186207.34599999999,3745005.281,-778.52999999999997,0
186208.459,3744996.895,-778.73000000000002,0
186209.20600000001,3744990.8429999999,-781.33000000000004,0
186210.36900000001,3744981.5529999998,-780.33000000000004,0
186211.38500000001,3744973.071,-780.73000000000002,0
186212.69099999999,3744962.872,-778.73000000000002,0
186213.77499999999,3744953.8939999999,-778.13,0
186214.72500000001,3744946.2230000002,-778.92999999999995,0
186215.68900000001,3744938.6540000001,-779.92999999999995,0
186216.72,3744930.4679999999,-780.52999999999997,0
186217.818,3744921.787,-780.33000000000004,0
186218.965,3744912.4029999999,-779.33000000000004,0
186219.995,3744904.2280000001,-779.63,0
186221.07999999999,3744895.2400000002,-779.23000000000002,0
186222.25599999999,3744886.2560000001,-778.63,0
186223.28099999999,3744877.9780000001,-778.83000000000004,0
186224.296,3744869.699,-779.13,0
186225.33499999999,3744861.7170000002,-780.02999999999997,0
186226.40100000001,3744854.1439999999,-781.23000000000002,0
186227.47099999999,3744845.0630000001,-780.42999999999995,0
186198.51500000001,3745168.0380000002,-778.92999999999995,0
186199.59,3745159.0580000002,-778.23000000000002,0
186200.74600000001,3745147.963,-776.02999999999997,0
186201.70999999999,3745140.395,-776.92999999999995,0
186202.61300000001,3745131.9249999998,-776.63,0
186203.489,3745124.6570000001,-777.92999999999995,0
186204.611,3745114.6710000001,-776.13,0
186205.61300000001,3745106.0959999999,-776.02999999999997,0
186206.41,3745099.1290000002,-777.63,0
186207.67199999999,3745088.1320000002,-775.33000000000004,0
186208.36199999999,3745082.679,-777.73000000000002,0
186209.37700000001,3745074.3990000002,-778.13,0
186210.42999999999,3745064.9190000002,-777.13,0
186211.35699999999,3745056.747,-777.52999999999997,0
186212.48800000001,3745046.966,-776.23000000000002,0
186213.42499999999,3745038.9879999999,-776.52999999999997,0
186214.291,3745031.5249999999,-777.33000000000004,0
186215.12100000001,3745025.0600000001,-779.42999999999995,0
186216.14000000001,3745016.8820000002,-779.63,0
186216.872,3745010.523,-782.02999999999997,0
186218.003,3745000.7420000001,-780.73000000000002,0
186219.163,3744991.3500000001,-779.92999999999995,0
186220.35999999999,3744980.9610000001,-777.73000000000002,0
186221.30100000001,3744973.085,-778.63,0
186222.29399999999,3744964.3050000002,-778.02999999999997,0
186223.299,3744955.8309999998,-778.02999999999997,0
186224.296,3744947.1529999999,-777.73000000000002,0
186225.25599999999,3744939.483,-778.92999999999995,0
186226.07500000001,3744933.0159999998,-781.33000000000004,0
186227.304,3744923.1290000002,-779.52999999999997,0
186228.367,3744913.8429999999,-779.02999999999997,0
186229.24600000001,3744906.6770000001,-780.33000000000004,0
186230.20600000001,3744899.0060000001,-781.52999999999997,0
186231.315,3744890.5180000002,-781.52999999999997,0
186232.372,3744881.1409999998,-780.73000000000002,0
186233.70800000001,3744869.7400000002,-777.13,0
186234.73699999999,3744861.5639999998,-777.52999999999997,0
186235.67000000001,3744853.4840000002,-778.02999999999997,0
186236.693,3744845.4079999998,-778.73000000000002,0
186206.44899999999,3745183.6549999998,-776.98000000000002,0
186207.48300000001,3745175.673,-776.88,0
186208.52499999999,3745167.702,-776.77999999999997,0
