x,y,z,flag
232905.18100000001,3752202.5320000001,-401.22000000000003,0
232906.397,3752197.648,-401.01999999999998,0
232907.84299999999,3752191.5619999999,-400.31999999999999,0
232908.573,3752188.608,-401.42000000000002,0
232905.99299999999,3752225.8969999999,-402.22000000000003,0
232907.30900000001,3752220.915,-402.12,0
232908.59599999999,3752215.5320000001,-401.92000000000002,0
232909.89799999999,3752210.443,-401.81999999999999,0
232911.11799999999,3752205.6639999999,-401.81999999999999,0
232912.25599999999,3752201.1940000001,-402.01999999999998,0
232913.47,3752196.3199999998,-402.01999999999998,0
232914.11799999999,3752193.5729999999,-403.12,0
232911.443,3752228.1230000001,-402.42000000000002,0
232912.476,3752223.6570000001,-402.72000000000003,0
232913.54399999999,3752219.4890000001,-403.12,0
232914.66500000001,3752214.8080000002,-403.31999999999999,0
232916.372,3752208.0040000002,-402.12,0
232917.98000000001,3752201.2990000001,-401.12,0
232919.74100000001,3752193.7859999998,-399.72000000000003,0
232920.32199999999,3752191.642,-401.12,0
232921.383,3752187.5759999999,-401.62,0
232922.04000000001,3752206.7919999999,-401.01999999999998,0
232922.67800000001,3752204.0529999998,-402.31999999999999,0
232923.90100000001,3752199.2740000002,-402.51999999999998,0
232925.44699999999,3752193.173,-401.92000000000002,0
232925.93100000001,3752191.2420000001,-403.72000000000003,0
232926.66699999999,3752188.29,-404.92000000000002,0
232921.25,3752233,-406.31999999999999,0
232925.04199999999,3752217.247,-400.42000000000002,0
232925.92499999999,3752213.5890000002,-401.12,0
232926.981,3752209.3250000002,-401.62,0
232927.86199999999,3752205.5630000001,-402.22000000000003,0
232929.552,3752198.4550000001,-401.12,0
232930.117,3752196.2239999999,-402.62,0
232930.91500000001,3752192.7719999999,-403.72000000000003,0
232932.375,3752186.8760000002,-403.22000000000003,0
232930.00099999999,3752228.2489999998,-402.57999999999998,0
232931.231,3752223.4730000002,-402.57999999999998,0
232932.18900000001,3752219.3080000002,-403.27999999999997,0
232933.98499999999,3752212.3939999999,-402.27999999999997,0
232934.45199999999,3752210.1579999998,-404.07999999999998,0
232935.027,3752208.023,-405.88,0
232936.81299999999,3752200.9100000001,-404.88,0
232937.696,3752197.1499999999,-405.48000000000002,0
232938.913,3752192.2659999998,-405.88,0
232940.147,3752187.594,-406.18000000000001,0
232940.905,3752207.2009999999,-407.27999999999997,0
232941.31599999999,3752205.7779999999,-409.57999999999998,0
232943.01199999999,3752198.7659999998,-408.77999999999997,0
232945.34700000001,3752189.0150000001,-406.07999999999998,0
232942.22200000001,3752236.3629999999,-407.06999999999999,0
232943.758,3752230.1660000002,-406.56999999999999,0
232945.68599999999,3752222.034,-404.87,0
232946.91399999999,3752217.2570000002,-405.06999999999999,0
232947.15400000001,3752216.2439999999,-407.47000000000003,0
232948.20300000001,3752211.9780000001,-408.17000000000002,0
232948.77499999999,3752209.8420000002,-409.97000000000003,0
232949.75,3752205.9700000002,-410.87,0
232951.20300000001,3752199.8859999999,-410.47000000000003,0
232952.89799999999,3752192.9759999998,-409.47000000000003,0
232905.14300000001,3752415.5469999998,-443.16000000000003,0
232905.95499999999,3752412.398,-444.45999999999998,0
232906.67499999999,3752409.2459999998,-445.45999999999998,0
232948.185,3752235.5460000001,-405.75999999999999,0
232948.99799999999,3752232.2009999999,-406.66000000000003,0
232950.12100000001,3752227.4270000001,-407.06,0
232951.65299999999,3752221.125,-406.36000000000001,0
232952.46799999999,3752217.9670000002,-407.45999999999998,0
232953.83100000001,3752212.1800000002,-407.36000000000001,0
232954.81299999999,3752208.321,-408.06,0
232956.15700000001,3752202.3319999999,-407.75999999999999,0
232956.96599999999,3752199.0789999999,-408.86000000000001,0
232957.86199999999,3752195.4240000001,-409.95999999999998,0
232959.23999999999,3752189.9309999999,-409.95999999999998,0
232905.02299999999,3752440.594,-444.12,0
232906.56299999999,3752434.304,-443.72000000000003,0
232907.45999999999,3752430.8470000001,-444.72000000000003,0
