x,y,z,flag
266508.30200000003,3699180.8029999998,-656.36000000000001,0
266502.61499999999,3699183.4389999998,-655.47000000000003,0
266505.91899999999,3699191.034,-656.37,0
266496.43900000001,3699183.5980000002,-656.38,0
266500.03899999999,3699191.4989999998,-657.38,0
266503.63900000002,3699199.3999999999,-657.58000000000004,0
266507.239,3699207.301,-658.38,0
266486.65399999998,3699178.8390000002,-654.97000000000003,0
266490.05099999998,3699186.645,-657.07000000000005,0
266493.65100000001,3699194.5350000001,-657.37,0
266497.24599999998,3699202.4380000001,-658.57000000000005,0
266500.94799999997,3699210.3360000001,-658.26999999999998,0
266507.32199999999,3699216.8590000002,-657.07000000000005,0
266482.38,3699183.605,-658.54999999999995,0
266486.07699999999,3699191.7050000001,-660.64999999999998,0
266489.97600000002,3699199.5980000002,-658.35000000000002,0
266493.67999999999,3699207.5950000002,-660.95000000000005,0
266497.57799999998,3699215.6979999999,-660.35000000000002,0
266500.84100000001,3699223.8149999999,-660.35000000000002,0
266504.734,3699231.909,-660.54999999999995,0
266508.53899999999,3699239.8139999998,-659.54999999999995,0
266472.66999999998,3699178.7140000002,-655.35000000000002,0
266476.27100000001,3699186.5159999998,-657.04999999999995,0
266480.07699999999,3699194.5189999999,-658.54999999999995,0
266483.87099999998,3699202.5180000002,-658.64999999999998,0
266487.57199999999,3699210.4160000002,-660.45000000000005,0
266491.37199999997,3699218.5219999999,-661.35000000000002,0
266494.93599999999,3699226.7390000001,-661.14999999999998,0
266498.82799999998,3699234.7349999999,-659.54999999999995,0
266502.62800000003,3699242.841,-660.54999999999995,0
266506.42800000001,3699251.1349999998,-663.75,0
266468.08399999997,3699183.4049999998,-655.63,0
266471.88500000001,3699191.0109999999,-656.73000000000002,0
266475.783,3699198.7009999999,-658.52999999999997,0
266479.57900000003,3699206.4100000001,-659.02999999999997,0
266483.38400000002,3699214.2039999999,-662.42999999999995,0
266487.27799999999,3699221.9079999998,-662.52999999999997,0
266486.74900000001,3699231.9270000001,-658.73000000000002,0
266490.54499999998,3699239.9270000001,-662.33000000000004,0
266494.35399999999,3699247.7289999998,-663.83000000000004,0
266498.34600000002,3699255.6299999999,-663.33000000000004,0
266502.15000000002,3699263.625,-666.73000000000002,0
266506.05300000001,3699271.5260000001,-668.13,0
266458.38799999998,3699178.4350000001,-658.15999999999997,0
266462.185,3699186.1430000002,-658.65999999999997,0
266466.08100000001,3699193.7349999999,-659.25999999999999,0
266469.98100000003,3699201.5359999998,-660.25999999999999,0
266473.78700000001,3699209.2400000002,-662.25999999999999,0
266477.68699999998,3699217.0419999999,-661.86000000000001,0
266481.587,3699224.7319999998,-662.15999999999997,0
266481.05099999998,3699234.9569999999,-663.86000000000001,0
266484.95500000002,3699242.858,-665.65999999999997,0
266488.85499999998,3699250.4580000001,-663.46000000000004,0
266492.85800000001,3699258.3539999998,-662.96000000000004,0
266496.65000000002,3699266.2549999999,-665.75999999999999,0
266500.54999999999,3699274.057,-665.05999999999995,0
266504.35999999999,3699282.0600000001,-667.05999999999995,0
266508.35399999999,3699290.162,-668.55999999999995,0
266451.12400000001,3699181.0970000001,-658.63999999999999,0
266455.02399999998,3699188.5959999999,-659.44000000000005,0
266459.027,3699196.0970000001,-658.94000000000005,0
266462.92800000001,3699203.5959999999,-660.34000000000003,0
266466.93099999998,3699211.0970000001,-660.13999999999999,0
266470.821,3699218.7930000001,-661.74000000000001,0
266474.62599999999,3699226.1940000001,-665.44000000000005,0
266471.28399999999,3699237.719,-663.53999999999996,0
266475.28600000002,3699245.4130000002,-664.03999999999996,0
266479.08600000001,3699253.1099999999,-667.03999999999996,0
266483.087,3699260.7149999999,-667.24000000000001,0
266487.07900000003,3699268.4130000002,-666.63999999999999,0
266491.08000000002,3699276.0180000002,-665.84000000000003,0
266495.08600000001,3699283.7200000002,-666.34000000000003,0
266499.08500000002,3699291.821,-669.74000000000001,0
266502.98499999999,3699299.3199999998,-669.03999999999996,0
266506.984,3699307.1170000001,-669.13999999999999,0
266444.71999999997,3699184.3459999999,-658.52999999999997,0
266448.72600000002,3699191.8459999999,-658.83000000000004,0
266452.72499999998,3699199.4399999999,-658.33000000000004,0
266456.52299999999,3699206.8450000002,-661.83000000000004,0
266460.42300000001,3699214.4449999998,-663.33000000000004,0
266464.41899999999,3699222.1430000002,-663.42999999999995,0
266468.42499999999,3699229.6430000002,-663.92999999999995,0
266464.88099999999,3699241.1630000002,-665.42999999999995,0
266468.88400000002,3699248.7659999998,-664.73000000000002,0
266472.87699999998,3699256.2620000001,-663.52999999999997,0
266476.674,3699264.1630000002,-667.92999999999995,0
266480.88,3699271.571,-663.23000000000002,0
266484.67499999999,3699279.665,-668.52999999999997,0
266488.67599999998,3699287.3709999998,-668.23000000000002,0
266492.67700000003,3699295.4709999999,-672.02999999999997,0
266496.57400000002,3699303.1740000001,-671.83000000000004,0
266500.67700000003,3699311.1639999999,-673.92999999999995,0
266504.57699999999,3699319.0690000001,-674.63,0
266508.576,3699326.9670000002,-675.13,0
266434.66499999998,3699180.5610000002,-657.16999999999996,0
266438.66200000001,3699187.963,-660.07000000000005,0
266442.76500000001,3699195.5580000002,-660.37,0
266446.962,3699203.1579999998,-660.57000000000005,0
266451.15899999999,3699210.7590000001,-661.97000000000003,0
266455.26699999999,3699218.3629999999,-663.57000000000005,0
266459.46299999999,3699226.0669999998,-664.87,0
266463.66899999999,3699233.662,-666.37,0
266456.72499999998,3699247.5759999999,-668.16999999999996,0
266460.92200000002,3699255.1770000001,-667.66999999999996,0
266465.22100000002,3699262.9840000002,-668.57000000000005,0
266469.32199999999,3699270.7850000001,-671.37,0
266473.522,3699278.5780000002,-672.07000000000005,0
266477.82000000001,3699286.3849999998,-672.37,0
266482.02500000002,3699294.0839999998,-672.37,0
266486.32000000001,3699301.7799999998,-671.37,0
266490.62,3699309.8829999999,-674.37,0
266494.81800000003,3699317.8820000002,-676.16999999999996,0
266499.12,3699325.7779999999,-676.57000000000005,0
266503.32299999997,3699333.182,-674.76999999999998,0
266507.72200000001,3699341.7779999999,-678.97000000000003,0
266428.67999999999,3699183.5060000001,-660.76999999999998,0
266432.88099999999,3699191.105,-660.66999999999996,0
266436.984,3699198.7110000001,-661.76999999999998,0
266441.283,3699206.301,-661.47000000000003,0
266445.386,3699213.9079999998,-663.37,0
266449.587,3699221.5060000001,-663.97000000000003,0
266453.891,3699229.1060000001,-661.26999999999998,0
266457.88500000001,3699236.8059999999,-665.87,0
266451.25,3699250.6269999999,-669.66999999999996,0
266455.554,3699258.2259999998,-667.66999999999996,0
266459.74800000002,3699266.1239999998,-670.07000000000005,0
266464.05300000001,3699273.6209999998,-667.66999999999996,0
266468.34899999999,3699281.122,-665.26999999999998,0
266472.54999999999,3699288.7200000002,-664.97000000000003,0
266476.65600000002,3699297.5219999999,-675.26999999999998,0
266480.95400000003,3699305.318,-675.26999999999998,0
266485.25099999999,3699313.2170000002,-676.07000000000005,0
266489.45000000001,3699321.125,-676.66999999999996,0
266493.75599999999,3699329.0189999999,-676.57000000000005,0
266497.95500000002,3699336.8229999999,-677.37,0
266502.255,3699344.915,-678.76999999999998,0
266506.55800000002,3699352.6170000001,-678.37,0
266418.75699999998,3699178.946,-657.72000000000003,0
266422.66100000002,3699185.852,-663.32000000000005,0
266426.86200000002,3699193.048,-664.32000000000005,0
266431.26299999998,3699200.4509999999,-662.91999999999996,0
266435.55800000002,3699207.6510000001,-663.41999999999996,0
266439.76000000001,3699214.9500000002,-665.82000000000005,0
266444.054,3699222.1490000002,-665.62,0
266448.353,3699229.554,-666.51999999999998,0
266452.55499999999,3699236.8539999998,-667.12,0
266441.50799999997,3699253.27,-669.62,0
266445.712,3699260.6719999998,-671.62,0
266450.016,3699268.1660000002,-672.41999999999996,0
266454.315,3699275.5720000002,-672.82000000000005,0
266458.71500000003,3699283.1719999998,-673.22000000000003,0
266463.01000000001,3699290.6719999998,-673.82000000000005,0
266467.31699999998,3699298.0720000002,-673.32000000000005,0
266471.61099999998,3699305.7689999999,-675.51999999999998,0
266475.91200000001,3699313.2769999998,-675.12,0
266480.20699999999,3699320.7760000001,-675.91999999999996,0
266484.511,3699328.7680000002,-679.72000000000003,0
266488.91499999998,3699336.5750000002,-680.62,0
266493.10700000002,3699343.5789999999,-677.62,0
266497.50300000003,3699351.4709999999,-679.62,0
266501.81300000002,3699359.2740000002,-681.32000000000005,0
266506.212,3699367.0720000002,-682.32000000000005,0
266410.348,3699183.3130000001,-661.59000000000003,0
266414.55699999997,3699190.5150000001,-662.78999999999996,0
266418.85700000002,3699197.8149999999,-663.38999999999999,0
266423.15500000003,3699205.0120000001,-664.28999999999996,0
266427.35200000001,3699212.3139999998,-665.28999999999996,0
266431.54999999999,3699219.6159999999,-666.49000000000001,0
266435.84999999998,3699226.9160000002,-667.19000000000005,0
266440.255,3699234.3169999998,-667.49000000000001,0
266444.45299999998,3699241.6189999999,-667.78999999999996,0
266434.511,3699257.4389999998,-656.38999999999999,0
266437.815,3699265.4339999999,-672.88999999999999,0
266442.20799999998,3699272.9339999999,-672.88999999999999,0
